"ID","SERVICE_TYPE","SERVICE","SERVICE_PLAN","IS_MILEAGE_APPLICABLE","ADDBY","UPDBY","CREATED_AT","UPDATED_AT"
1,rtw_st_phy,rtw_s1_phy,"3",,,,2021-01-21 06:16:34,2021-01-21 06:16:34
2,rtw_st_phy,rtw_s2_man,"3",,,,2021-01-21 06:16:34,2021-01-21 06:16:34
3,rtw_st_phy,rtw_s3_pai,"3",,,,2021-01-21 06:16:34,2021-01-21 06:16:34
4,rtw_st_phy,rtw_s4_mus,"3",,,,2021-01-21 06:16:34,2021-01-21 06:16:34
5,rtw_st_phy,rtw_s5_spo,"3",,,,2021-01-21 06:16:34,2021-01-21 06:16:34
6,rtw_st_phy,rtw_s6_str,"3",,,,2021-01-21 06:16:34,2021-01-21 06:16:34
7,rtw_st_phy,rtw_s7_spi,"3",,,,2021-01-21 06:16:34,2021-01-21 06:16:34
8,rtw_st_phy,rtw_s8_tra,"3",,,,2021-01-21 06:16:34,2021-01-21 06:16:34
9,rtw_st_phy,rtw_s9_amp,"3",,,,2021-01-21 06:16:34,2021-01-21 06:16:34
10,rtw_st_phy,rtw_s10_car,"3",,,,2021-01-21 06:16:34,2021-01-21 06:16:34
11,rtw_st_phy,rtw_s11_hyd,"3",,,,2021-01-21 06:16:34,2021-01-21 06:16:34
12,rtw_st_phy,rtw_s32_hom,"3","1",,,2021-01-21 06:16:34,2021-01-21 06:16:34
13,rtw_st_phy,rtw_s13_gro,"3",,,,2021-01-21 06:16:34,2021-01-21 06:16:34
14,rtw_st_phy,rtw_s14_bur,"3",,,,2021-01-21 06:16:34,2021-01-21 06:16:34
15,rtw_st_phy,rtw_s40_pat,"3",,,,2021-01-21 06:16:34,2021-01-21 06:16:34
16,rtw_st_phy,rtw_s16_wom,"3",,,,2021-01-21 06:16:34,2021-01-21 06:16:34
17,rtw_st_phy,rtw_s17_oth,"3",,,,2021-01-21 06:16:34,2021-01-21 06:16:34
18,rtw_st_phy,rtw_s18_alt,"3",,,,2021-01-21 06:16:34,2021-01-21 06:16:34
