"ID","CODE_CATEGORY","REF_CODE","DESC_EN","DESC_BM","ADDBY","UPDATEBY","CREATED_AT","UPDATED_AT","PRIORITY","6731","RTW_SP_SERVICETYPE","RTW_ST_PHY","PHYSIOTHERAPY"
161441,acc_sts,"1",Active,Aktif,,,2021-01-19 15:52:39,2021-01-19 15:52:39,,,,,
161442,acc_sts,"2",In-Active,Tidak Aktif,,,2021-01-19 15:52:39,2021-01-19 15:52:39,,,,,
161443,acc_sts,"3",Disable,Disable,,,2021-01-19 15:52:39,2021-01-19 15:52:39,,,,,
161444,accdcode,"81","Contact by inhalation, ingestion or absorptio","Contact by inhalation, ingestion or absorptio",,,2021-01-19 15:52:39,2021-01-19 15:52:39,,,,,
161445,accdcode,"82",Exposure to ionising radiations,Exposure to ionising radiations,,,2021-01-19 15:52:39,2021-01-19 15:52:39,,,,,
161446,accdcode,"83",Exposure to radiations other than ionising,Exposure to radiations other than ionising,,,2021-01-19 15:52:39,2021-01-19 15:52:39,,,,,
161447,accdcode,"91","Other types of accident, not classified","Other types of accident, not classified",,,2021-01-19 15:52:39,2021-01-19 15:52:39,,,,,
161448,accdcode,"92",Accidents not classified for lack of data,Accidents not classified for lack of data,,,2021-01-19 15:52:39,2021-01-19 15:52:39,,,,,
161449,accdplace,I,Inside Employer Premise,Dalam premis majikan,,,2021-01-19 15:52:39,2021-01-19 15:52:39,,,,,
161450,accdplace,O,Outside Employer Premise,Luar premis majikan,,,2021-01-19 15:52:39,2021-01-19 15:52:39,,,,,
161451,accdwhen,"1",While working,Semasa Bekerja,,,2021-01-19 15:52:39,2021-01-19 15:52:39,,,,,
161452,accdwhen,"2",During journey between place of residence and place of work,Semasa perjalanan antara tempat tinggal / kediaman dengan tempat kerja,,,2021-01-19 15:52:39,2021-01-19 15:52:39,,,,,
161453,accdwhen,"3",During journey at authorized recess,Semasa perjalanan pada masa rehat yang dibenarkan,,,2021-01-19 15:52:39,2021-01-19 15:52:39,,,,,
161454,accdwhen,"4",During employment activities,Semasa menjalankan aktiviti berkaitan penggajian.,,,2021-01-19 15:52:39,2021-01-19 15:52:39,,,,,
161455,accdwhen,"5",During  work-related journey,Semasa perjalanan berkaitan dengan pekerjaan,,,2021-01-19 15:52:39,2021-01-19 15:52:39,,,,,
161456,accdwhen,"6",During emergency,Semasa kecemasan,,,2021-01-19 15:52:39,2021-01-19 15:52:39,,,,,
161457,accdwhen,"7",Others,Lain-lain,,,2021-01-19 15:52:39,2021-01-19 15:52:39,,,,,
161458,acctype,"1",Savings,,,,2021-01-19 15:52:39,2021-01-19 15:52:39,,,,,
161459,acctype,"2",Current,,,,2021-01-19 15:52:39,2021-01-19 15:52:39,,,,,
161460,acctype,"3",Joint,,,,2021-01-19 15:52:39,2021-01-19 15:52:39,,,,,
161461,act,"1",Employeeâs Social Security Act 1969 (Act 4),Employeeâs Social Security Act 1969 (Act 4),,,2021-01-19 15:52:39,2021-01-19 15:52:39,,,,,
161462,act,"2",Self-Employment Social Security Act 2017 (Act 789),Self-Employment Social Security Act 2017 (Act 789),,,2021-01-19 15:52:39,2021-01-19 15:52:39,,,,,
161463,act,"3",All,Semua,,,2021-01-19 15:52:39,2021-01-19 15:52:39,,,,,
161464,actiontype,"1",Recommend,Pengesyoran,,,2021-01-19 15:52:39,2021-01-19 15:52:39,,,,,
161465,actiontype,"2",Query,Pertanyaan,,,2021-01-19 15:52:39,2021-01-19 15:52:39,,,,,
161466,actiontype,"3",Opinion,Pendapat,,,2021-01-19 15:52:39,2021-01-19 15:52:39,,,,,
161467,actvttype,MD,MB/SMB/MAB/SMAB/Medical Opinion,,,,2021-01-19 15:52:39,2021-01-19 15:52:39,,,,,
161468,actvttype,RW,Return to Work,,,,2021-01-19 15:52:39,2021-01-19 15:52:39,,,,,
161469,actvttype,SM,Scheme Management,,,,2021-01-19 15:52:39,2021-01-19 15:52:39,,,,,
161470,ageeligible,N,Tidak Memenuhi Kelayakan Umur,Tidak Memenuhi Kelayakan Umur,,,2021-01-19 15:52:39,2021-01-19 15:52:39,,,,,
161471,ageeligible,Y,Memenuhi Kelayakan Umur,Memenuhi Kelayakan Umur,,,2021-01-19 15:52:39,2021-01-19 15:52:39,,,,,
161472,appealby,"1",PERKESO,PERKESO,,,2021-01-19 15:52:39,2021-01-19 15:52:39,,,,,
161473,appealby,"2",Insured Person,Insured Person,,,2021-01-19 15:52:39,2021-01-19 15:52:39,,,,,
161474,applrelation,"1",Widow,Janda,,,2021-01-19 15:52:39,2021-01-19 15:52:39,,,,,
161475,applrelation,"2",Widower,Duda,,,2021-01-19 15:52:39,2021-01-19 15:52:39,,,,,
161476,applrelation,"3",Father,Bapa,,,2021-01-19 15:52:39,2021-01-19 15:52:39,,,,,
161477,applrelation,"4",Mother,Ibu,,,2021-01-19 15:52:39,2021-01-19 15:52:39,,,,,
161478,applrelation,"5",Child,Anak,,,2021-01-19 15:52:39,2021-01-19 15:52:39,,,,,
161479,applrelation,"6",Widow (Unknown),Balu (Tidak Diketahui),,,2021-01-19 15:52:39,2021-01-19 15:52:39,,,,,
161480,applrelation,"7",Child,Anak,,,2021-01-19 15:52:39,2021-01-19 15:52:39,,,,,
161481,applrelation,"8",Others,Lain-lain,,,2021-01-19 15:52:39,2021-01-19 15:52:39,,,,,
161482,appt_sts,"1",Pending for assesment,,,,2021-01-19 15:52:39,2021-01-19 15:52:39,,,,,
