"ID","CODE_CATEGORY","REF_CODE","DESC_EN","DESC_BM","ADDBY","UPDATEBY","CREATED_AT","UPDATED_AT","PRIORITY"
3179,selfsts,"1",Medical Leave,Cuti Sakit,,,2020-11-23 16:32:34,2020-11-23 16:32:34,
3180,selfsts,"2",Service Leave,Cuti Perkhidmatan,,,2020-11-23 16:32:34,2020-11-23 16:32:34,
3181,selfsts,"3",Outstation,Luar Kawasan,,,2020-11-23 16:32:34,2020-11-23 16:32:34,
3182,selfsts,"4",Training,Latihan,,,2020-11-23 16:32:34,2020-11-23 16:32:34,
3183,days,"1",Monday,Isnin,,,2020-11-23 16:32:34,2020-11-23 16:32:34,
3184,days,"2",Tuesday,Selasa,,,2020-11-23 16:32:34,2020-11-23 16:32:34,
3185,days,"3",Wednesday,Rabu,,,2020-11-23 16:32:34,2020-11-23 16:32:34,
3186,days,"4",Thursday,Khamis,,,2020-11-23 16:32:34,2020-11-23 16:32:34,
3187,days,"5",Friday,Jumaat,,,2020-11-23 16:32:34,2020-11-23 16:32:34,
3188,days,"6",Saturday,Sabtu,,,2020-11-23 16:32:34,2020-11-23 16:32:34,
3189,days,"7",Sunday,Ahad,,,2020-11-23 16:32:34,2020-11-23 16:32:34,
3190,act,"1",Employeeâs Social Security Act 1969 (Act 4),Employeeâs Social Security Act 1969 (Act 4),,,2020-11-23 16:32:34,2020-11-23 16:32:34,
3191,act,"2",Self-Employment Social Security Act 2017 (Act 789),Self-Employment Social Security Act 2017 (Act 789),,,2020-11-23 16:32:34,2020-11-23 16:32:34,
3192,act,"3",All,Semua,,,2020-11-23 16:32:34,2020-11-23 16:32:34,
3193,features,"1",New Claim,Tuntutan Baru,,,2020-11-23 16:32:34,2020-11-23 16:32:34,
3194,features,"2",Revision,Ulang kaji,,,2020-11-23 16:32:34,2020-11-23 16:32:34,
3195,features,"3",Others,Lain-lain,,,2020-11-23 16:32:34,2020-11-23 16:32:34,
3196,mbcategory,"1",MB/SMB,MB/SMB,,,2020-11-23 16:32:34,2020-11-23 16:32:34,
3197,mbcategory,"2",MAB/SMAB,MAB/SMAB,,,2020-11-23 16:32:34,2020-11-23 16:32:34,
3198,mbcategory,"3",MA,MA,,,2020-11-23 16:32:34,2020-11-23 16:32:34,
3199,module,"1",Scheme Management,Scheme Management,,,2020-11-23 16:32:34,2020-11-23 16:32:34,
3200,module,"2",Medical Services,Medical Services,,,2020-11-23 16:32:34,2020-11-23 16:32:34,
3201,module,"3",Medical Board,Medical Board,,,2020-11-23 16:32:34,2020-11-23 16:32:34,
3202,module,"4",Return To Work,Return To Work,,,2020-11-23 16:32:34,2020-11-23 16:32:34,
3203,module,"5",Medical Assessor,Medical Assessor,,,2020-11-23 16:32:34,2020-11-23 16:32:34,
3204,module,"6",Administration,Administration,,,2020-11-23 16:32:34,2020-11-23 16:32:34,
3205,noticetype,"1",Accident,Kemalangan,,,2020-11-23 16:32:34,2020-11-23 16:32:34,
3206,noticetype,"2",Occupational Disease,,,,2020-11-23 16:32:34,2020-11-23 16:32:34,
3207,noticetype,"3",Ilat,,,,2020-11-23 16:32:34,2020-11-23 16:32:34,
3208,noticetype,"4",Death,Kematian,,,2020-11-23 16:32:34,2020-11-23 16:32:34,
3209,noticetype,"5",All Notices,Semua Notice,,,2020-11-23 16:32:34,2020-11-23 16:32:34,
3210,workplace,"1",Division (HQ),Division (HQ),,,2020-11-23 16:32:34,2020-11-23 16:32:34,
3211,workplace,"2",Socso Office,Socso Office,,,2020-11-23 16:32:34,2020-11-23 16:32:34,
3212,accdcode,"81","Contact by inhalation, ingestion or absorptio","Contact by inhalation, ingestion or absorptio",,,2020-11-23 16:32:34,2020-11-23 16:32:34,
3213,accdcode,"82",Exposure to ionising radiations,Exposure to ionising radiations,,,2020-11-23 16:32:34,2020-11-23 16:32:34,
3214,accdcode,"83",Exposure to radiations other than ionising,Exposure to radiations other than ionising,,,2020-11-23 16:32:34,2020-11-23 16:32:34,
3215,accdcode,"91","Other types of accident, not classified","Other types of accident, not classified",,,2020-11-23 16:32:34,2020-11-23 16:32:34,
3216,accdcode,"92",Accidents not classified for lack of data,Accidents not classified for lack of data,,,2020-11-23 16:32:34,2020-11-23 16:32:34,
3217,accdplace,I,Inside Employer Premise,Dalam premis majikan,,,2020-11-23 16:32:34,2020-11-23 16:32:34,
3218,accdplace,O,Outside Employer Premise,Luar premis majikan,,,2020-11-23 16:32:34,2020-11-23 16:32:34,
3219,accdwhen,"1",While working,Semasa Bekerja,,,2020-11-23 16:32:34,2020-11-23 16:32:34,
3220,accdwhen,"2",During journey between place of residence and place of work,Semasa perjalanan antara tempat tinggal / kediaman dengan tempat kerja,,,2020-11-23 16:32:34,2020-11-23 16:32:34,
3221,accdwhen,"3",During journey at authorized recess,Semasa perjalanan pada masa rehat yang dibenarkan,,,2020-11-23 16:32:34,2020-11-23 16:32:34,
3222,accdwhen,"4",During employment activities,Semasa menjalankan aktiviti berkaitan penggajian.,,,2020-11-23 16:32:34,2020-11-23 16:32:34,
3223,accdwhen,"5",During  work-related journey,Semasa perjalanan berkaitan dengan pekerjaan,,,2020-11-23 16:32:34,2020-11-23 16:32:34,
3224,accdwhen,"6",During emergency,Semasa kecemasan,,,2020-11-23 16:32:34,2020-11-23 16:32:34,
3225,accdwhen,"7",Others,Lain-lain,,,2020-11-23 16:32:34,2020-11-23 16:32:34,
3226,acctype,"1",Savings,NULL,,,2020-11-23 16:32:34,2020-11-23 16:32:34,
3227,acctype,"2",Current,NULL,,,2020-11-23 16:32:34,2020-11-23 16:32:34,
3228,acctype,"3",Joint,NULL,,,2020-11-23 16:32:34,2020-11-23 16:32:34,
3229,actiontype,"1",Recommend,Pengesyoran,,,2020-11-23 16:32:34,2020-11-23 16:32:34,
3230,actiontype,"2",Query,Pertanyaan,,,2020-11-23 16:32:34,2020-11-23 16:32:34,
3231,actiontype,"3",Opinion,Pendapat,,,2020-11-23 16:32:34,2020-11-23 16:32:34,
3232,actvttype,MD,MB/SMB/MAB/SMAB/Medical Opinion,NULL,,,2020-11-23 16:32:34,2020-11-23 16:32:34,
3233,actvttype,RW,Return to Work,NULL,,,2020-11-23 16:32:34,2020-11-23 16:32:34,
3234,actvttype,SM,Scheme Management,NULL,,,2020-11-23 16:32:34,2020-11-23 16:32:34,
3235,ageeligible,N,Tidak Memenuhi Kelayakan Umur,Tidak Memenuhi Kelayakan Umur,,,2020-11-23 16:32:34,2020-11-23 16:32:34,
3236,ageeligible,Y,Memenuhi Kelayakan Umur,Memenuhi Kelayakan Umur,,,2020-11-23 16:32:34,2020-11-23 16:32:34,
3237,applrelation,"1",Widow,Balu,,,2020-11-23 16:32:34,2020-11-23 16:32:34,
3238,applrelation,"2",Widower,Duda,,,2020-11-23 16:32:34,2020-11-23 16:32:34,
3239,applrelation,"3",Father,Bapa,,,2020-11-23 16:32:34,2020-11-23 16:32:34,
3240,applrelation,"4",Mother,Ibu,,,2020-11-23 16:32:34,2020-11-23 16:32:34,
3241,applrelation,"5",Child,Anak,,,2020-11-23 16:32:34,2020-11-23 16:32:34,
3242,applrelation,"6",Widow (Unknown),Balu (Tidak Diketahui),,,2020-11-23 16:32:34,2020-11-23 16:32:34,
3243,applrelation,"7",Child,Anak,,,2020-11-23 16:32:34,2020-11-23 16:32:34,
3244,applrelation,"8",Others,Lain-lain,,,2020-11-23 16:32:34,2020-11-23 16:32:34,
3245,appt_sts,"1",Pending for assesment,NULL,,,2020-11-23 16:32:34,2020-11-23 16:32:34,
3246,appt_sts,"2",No assessement,NULL,,,2020-11-23 16:32:34,2020-11-23 16:32:34,
3247,appt_sts,"3",Pending for MMI,NULL,,,2020-11-23 16:32:34,2020-11-23 16:32:34,
3248,appt_sts,"4",Pending info,NULL,,,2020-11-23 16:32:34,2020-11-23 16:32:34,
3249,appt_sts,"5",Completed,NULL,,,2020-11-23 16:32:34,2020-11-23 16:32:34,
3250,appt_sts,"6",Cancel,NULL,,,2020-11-23 16:32:34,2020-11-23 16:32:34,
3251,appt_sts,"7",Close,NULL,,,2020-11-23 16:32:34,2020-11-23 16:32:34,
3252,assesstype,"1",Provisional,NULL,,,2020-11-23 16:32:34,2020-11-23 16:32:34,
3253,assesstype,"2",Final,NULL,,,2020-11-23 16:32:34,2020-11-23 16:32:34,
3254,assesstype,"3",Multiple Injury,NULL,,,2020-11-23 16:32:34,2020-11-23 16:32:34,
3255,assesstype,"4",Final Multiple Injury,NULL,,,2020-11-23 16:32:34,2020-11-23 16:32:34,
3256,audtcat,"1",OB Profile,NULL,,,2020-11-23 16:32:34,2020-11-23 16:32:34,
3257,audtcat,"2",OB Contact Info,NULL,,,2020-11-23 16:32:34,2020-11-23 16:32:34,
3258,audtcat,"3",Employer Profile,NULL,,,2020-11-23 16:32:34,2020-11-23 16:32:34,
3259,audtcat,"4",Wages Details,NULL,,,2020-11-23 16:32:34,2020-11-23 16:32:34,
3260,audtcat,"5",Case Info,NULL,,,2020-11-23 16:32:34,2020-11-23 16:32:34,
3261,audtcat,"6",Accident Info,NULL,,,2020-11-23 16:32:34,2020-11-23 16:32:34,
3262,audtcat,"7",OD Info,NULL,,,2020-11-23 16:32:34,2020-11-23 16:32:34,
3263,audtcat,"8",Ilat Info,NULL,,,2020-11-23 16:32:34,2020-11-23 16:32:34,
3264,audtcat,"9",Dependant Profile,NULL,,,2020-11-23 16:32:34,2020-11-23 16:32:34,
3265,audtcat,"10",Guardian Profile,NULL,,,2020-11-23 16:32:34,2020-11-23 16:32:34,
3266,audtcat,"11",MC Info,NULL,,,2020-11-23 16:32:34,2020-11-23 16:32:34,
3267,audtcat,"12",Document Upload,NULL,,,2020-11-23 16:32:34,2020-11-23 16:32:34,
3268,audtcat,"13",Remarks,NULL,,,2020-11-23 16:32:34,2020-11-23 16:32:34,
3269,audtcat,"14",Prefered Socso Office,NULL,,,2020-11-23 16:32:34,2020-11-23 16:32:34,
3270,audtcat,"15",Employer Certification,NULL,,,2020-11-23 16:32:34,2020-11-23 16:32:34,
3271,audtcat,"16",Bank Info,NULL,,,2020-11-23 16:32:34,2020-11-23 16:32:34,
3272,audtcat,"17",J Section,NULL,,,2020-11-23 16:32:34,2020-11-23 16:32:34,
3273,audtcat,"18",Login,NULL,,,2020-11-23 16:32:34,2020-11-23 16:32:34,
3274,audtcat,"19",Logout,NULL,,,2020-11-23 16:32:34,2020-11-23 16:32:34,
3275,audtcat,"20",User Profile,NULL,,,2020-11-23 16:32:34,2020-11-23 16:32:34,
3276,audtcat,"21",Stop Payment,NULL,,,2020-11-23 16:32:34,2020-11-23 16:32:34,
3277,audtcat,"22",Workbasket,NULL,,,2020-11-23 16:32:34,2020-11-23 16:32:34,
3278,audtcat,"23",Case Activity,NULL,,,2020-11-23 16:32:34,2020-11-23 16:32:34,
3279,baists,"1",Active,NULL,,,2020-11-23 16:32:34,2020-11-23 16:32:34,
3280,baists,"2",Inactive,NULL,,,2020-11-23 16:32:34,2020-11-23 16:32:34,
3281,baists,"3",Suspense,NULL,,,2020-11-23 16:32:34,2020-11-23 16:32:34,
3282,baists,"4",Closed,NULL,,,2020-11-23 16:32:34,2020-11-23 16:32:34,
3283,bankcode,"1",CIMB Bank Berhad (CIMB),NULL,,,2020-11-23 16:32:34,2020-11-23 16:32:34,
3284,bankcode,"2",Maybank (MBB),NULL,,,2020-11-23 16:32:34,2020-11-23 16:32:34,
3285,bankcode,"3",Bank Simpanan Nasional (BSN),NULL,,,2020-11-23 16:32:34,2020-11-23 16:32:34,
3286,bankcode,"4",Bank Muamalat (BMMB),NULL,,,2020-11-23 16:32:34,2020-11-23 16:32:34,
3287,bankcode,"5",RHB Bank Berhad (RHB),NULL,,,2020-11-23 16:32:34,2020-11-23 16:32:34,
3288,bankcode,"6",Public Bank Berhad (PBB),NULL,,,2020-11-23 16:32:34,2020-11-23 16:32:34,
3289,bankcode,"7",Bank Islam Malaysia Berhad (BIMB),NULL,,,2020-11-23 16:32:34,2020-11-23 16:32:34,
3290,bankcode,"8",Hong Leong Bank Berhad (HLBB),NULL,,,2020-11-23 16:32:34,2020-11-23 16:32:34,
3291,bankcode,"9",Ambank Berhad (AMBank),NULL,,,2020-11-23 16:32:34,2020-11-23 16:32:34,
3292,bankloc,"0",Local Bank,NULL,,,2020-11-23 16:32:34,2020-11-23 16:32:34,
3293,bankloc,"1",Overseas Bank,NULL,,,2020-11-23 16:32:34,2020-11-23 16:32:34,
3294,benefityp,ELS,Constant Attending Allowance,Elaun Layanan Sementara,,,2020-11-23 16:32:34,2020-11-23 16:32:34,
3295,benefityp,FOT,Dependants' Pension,Faedah Orang Tanggungan,,,2020-11-23 16:32:34,2020-11-23 16:32:34,
3296,benefityp,FPM,Funeral Expenses,Faedah Pengurusan Mayat,,,2020-11-23 16:32:34,2020-11-23 16:32:34,
3297,benefityp,HUK,Permanent Disablement,Hilang Upaya Kekal,,,2020-11-23 16:32:34,2020-11-23 16:32:34,
3298,benefityp,HUS,Temporary Disablement,Hilang Upaya Sementara,,,2020-11-23 16:32:34,2020-11-23 16:32:34,
3299,benefityp,ILT,Invalidity Pension,Pencen Ilat,,,2020-11-23 16:32:34,2020-11-23 16:32:34,
3300,benefityp,PKT,Survivors' Pension,Penakat,,,2020-11-23 16:32:34,2020-11-23 16:32:34,
3301,bussentity,"1",Corporation,NULL,,,2020-11-23 16:32:34,2020-11-23 16:32:34,
3302,bussentity,"2",Partnership,NULL,,,2020-11-23 16:32:34,2020-11-23 16:32:34,
3303,bussentity,"3",Sole Proprietor / Individual Business,NULL,,,2020-11-23 16:32:34,2020-11-23 16:32:34,
3304,bussentity,"4",Others,NULL,,,2020-11-23 16:32:34,2020-11-23 16:32:34,
3305,casetype,"1",Accident,Kemalangan,,,2020-11-23 16:32:34,2020-11-23 16:32:34,
3306,casetype,"2",Occupational Disease,Penyakit Khidmat,,,2020-11-23 16:32:34,2020-11-23 16:32:34,
3307,casetype,"3",Invalidity,Keilatan,,,2020-11-23 16:32:34,2020-11-23 16:32:34,
3308,casetype,"4",Death,Kematian,,,2020-11-23 16:32:34,2020-11-23 16:32:34,
3309,causative,"111",Steam engines,NULL,,,2020-11-23 16:32:34,2020-11-23 16:32:34,
3310,causative,"112",Internal conbustion engines,NULL,,,2020-11-23 16:32:34,2020-11-23 16:32:34,
3311,causative,"113","Others - Prime-moyers, except electr. motors",NULL,,,2020-11-23 16:32:34,2020-11-23 16:32:34,
3312,causative,"121",Transmission shafts,NULL,,,2020-11-23 16:32:34,2020-11-23 16:32:34,
3313,causative,"122","Transmission belts, cables, pulleys, pinions",NULL,,,2020-11-23 16:32:34,2020-11-23 16:32:34,
3314,causative,"129",Others - transmission machinery,NULL,,,2020-11-23 16:32:34,2020-11-23 16:32:34,
3315,causative,"131",Power presses,NULL,,,2020-11-23 16:32:34,2020-11-23 16:32:34,
3316,causative,"132",Lathes,NULL,,,2020-11-23 16:32:34,2020-11-23 16:32:34,
3317,causative,"133",Milling machines,NULL,,,2020-11-23 16:32:34,2020-11-23 16:32:34,
3318,causative,"134",Abrasive wheels,NULL,,,2020-11-23 16:32:34,2020-11-23 16:32:34,
3319,causative,"135",Mechanical shears,NULL,,,2020-11-23 16:32:34,2020-11-23 16:32:34,
3320,causative,"136",Forging machines,NULL,,,2020-11-23 16:32:34,2020-11-23 16:32:34,
3321,causative,"137",Rolling-mills,NULL,,,2020-11-23 16:32:34,2020-11-23 16:32:34,
3322,causative,"139",Others - metalworking machines,NULL,,,2020-11-23 16:32:34,2020-11-23 16:32:34,
3323,causative,"141",Circular saws,NULL,,,2020-11-23 16:32:34,2020-11-23 16:32:34,
3324,causative,"142",Other saws,NULL,,,2020-11-23 16:32:34,2020-11-23 16:32:34,
3325,causative,"143",Moulding machines,NULL,,,2020-11-23 16:32:34,2020-11-23 16:32:34,
3326,causative,"144",Overhand planes,NULL,,,2020-11-23 16:32:34,2020-11-23 16:32:34,
3327,causative,"149",Others - wood and assimilated machines,NULL,,,2020-11-23 16:32:34,2020-11-23 16:32:34,
3328,causative,"151",Reapers (including combine reapers),NULL,,,2020-11-23 16:32:34,2020-11-23 16:32:34,
