"ID","CODE_CATEGORY","REF_CODE","DESC_EN","DESC_BM","ADDBY","UPDATEBY","CREATED_AT","UPDATED_AT","PRIORITY"
1,acc_sts,"1",Active,Aktif,,,2021-01-20 01:47:05,2021-01-20 01:47:05,
2,acc_sts,"2",In-Active,Tidak Aktif,,,2021-01-20 01:47:05,2021-01-20 01:47:05,
3,acc_sts,"3",Disable,Disable,,,2021-01-20 01:47:05,2021-01-20 01:47:05,
4,accdcode,"81",'Contact by inhalation, ingestion or absorptio","Contact by inhalation, ingestion or absorptio',,,2021-01-20 01:47:05,2021-01-20 01:47:05,
5,accdcode,"82",Exposure to ionising radiations,Exposure to ionising radiations,,,2021-01-20 01:47:05,2021-01-20 01:47:05,
6,accdcode,"83",Exposure to radiations other than ionising,Exposure to radiations other than ionising,,,2021-01-20 01:47:05,2021-01-20 01:47:05,
7,accdcode,"91",'Other types of accident, not classified','Other types of accident, not classified',,,2021-01-20 01:47:05,2021-01-20 01:47:05,
8,accdcode,"92",Accidents not classified for lack of data,Accidents not classified for lack of data,,,2021-01-20 01:47:05,2021-01-20 01:47:05,
9,accdplace,I,Inside Employer Premise,Dalam premis majikan,,,2021-01-20 01:47:05,2021-01-20 01:47:05,
10,accdplace,O,Outside Employer Premise,Luar premis majikan,,,2021-01-20 01:47:05,2021-01-20 01:47:05,
11,accdwhen,"1",While working,Semasa Bekerja,,,2021-01-20 01:47:05,2021-01-20 01:47:05,
12,accdwhen,"2",During journey between place of residence and place of work,Semasa perjalanan antara tempat tinggal / kediaman dengan tempat kerja,,,2021-01-20 01:47:05,2021-01-20 01:47:05,
13,accdwhen,"3",During journey at authorized recess,Semasa perjalanan pada masa rehat yang dibenarkan,,,2021-01-20 01:47:05,2021-01-20 01:47:05,
14,accdwhen,"4",During employment activities,Semasa menjalankan aktiviti berkaitan penggajian.,,,2021-01-20 01:47:05,2021-01-20 01:47:05,
15,accdwhen,"5",During  work-related journey,Semasa perjalanan berkaitan dengan pekerjaan,,,2021-01-20 01:47:05,2021-01-20 01:47:05,
16,accdwhen,"6",During emergency,Semasa kecemasan,,,2021-01-20 01:47:05,2021-01-20 01:47:05,
17,accdwhen,"7",Others,Lain-lain,,,2021-01-20 01:47:05,2021-01-20 01:47:05,
18,acctype,"1",Savings,,,,2021-01-20 01:47:05,2021-01-20 01:47:05,
19,acctype,"2",Current,,,,2021-01-20 01:47:05,2021-01-20 01:47:05,
20,acctype,"3",Joint,,,,2021-01-20 01:47:05,2021-01-20 01:47:05,
21,act,"1",Employeeâs Social Security Act 1969 (Act 4),Employeeâs Social Security Act 1969 (Act 4),,,2021-01-20 01:47:05,2021-01-20 01:47:05,
22,act,"2",Self-Employment Social Security Act 2017 (Act 789),Self-Employment Social Security Act 2017 (Act 789),,,2021-01-20 01:47:05,2021-01-20 01:47:05,
23,act,"3",All,Semua,,,2021-01-20 01:47:05,2021-01-20 01:47:05,
24,actiontype,"1",Recommend,Pengesyoran,,,2021-01-20 01:47:05,2021-01-20 01:47:05,
25,actiontype,"2",Query,Pertanyaan,,,2021-01-20 01:47:05,2021-01-20 01:47:05,
26,actiontype,"3",Opinion,Pendapat,,,2021-01-20 01:47:05,2021-01-20 01:47:05,
27,actvttype,MD,MB/SMB/MAB/SMAB/Medical Opinion,,,,2021-01-20 01:47:05,2021-01-20 01:47:05,
28,actvttype,RW,Return to Work,,,,2021-01-20 01:47:05,2021-01-20 01:47:05,
29,actvttype,SM,Scheme Management,,,,2021-01-20 01:47:05,2021-01-20 01:47:05,
30,ageeligible,N,Tidak Memenuhi Kelayakan Umur,Tidak Memenuhi Kelayakan Umur,,,2021-01-20 01:47:05,2021-01-20 01:47:05,
31,ageeligible,Y,Memenuhi Kelayakan Umur,Memenuhi Kelayakan Umur,,,2021-01-20 01:47:05,2021-01-20 01:47:05,
32,appealby,"1",PERKESO,PERKESO,,,2021-01-20 01:47:05,2021-01-20 01:47:05,
33,appealby,"2",Insured Person,Insured Person,,,2021-01-20 01:47:05,2021-01-20 01:47:05,
34,applrelation,"1",Widow,Janda,,,2021-01-20 01:47:05,2021-01-20 01:47:05,
35,applrelation,"2",Widower,Duda,,,2021-01-20 01:47:05,2021-01-20 01:47:05,
36,applrelation,"3",Father,Bapa,,,2021-01-20 01:47:05,2021-01-20 01:47:05,
37,applrelation,"4",Mother,Ibu,,,2021-01-20 01:47:05,2021-01-20 01:47:05,
38,applrelation,"5",Child,Anak,,,2021-01-20 01:47:05,2021-01-20 01:47:05,
39,applrelation,"6",Widow (Unknown),Balu (Tidak Diketahui),,,2021-01-20 01:47:05,2021-01-20 01:47:05,
40,applrelation,"7",Child,Anak,,,2021-01-20 01:47:05,2021-01-20 01:47:05,
41,applrelation,"8",Others,Lain-lain,,,2021-01-20 01:47:05,2021-01-20 01:47:05,
42,appt_sts,"1",Pending for assesment,,,,2021-01-20 01:47:05,2021-01-20 01:47:05,
43,appt_sts,"2",No assessement,,,,2021-01-20 01:47:05,2021-01-20 01:47:05,
44,appt_sts,"3",Pending for MMI,,,,2021-01-20 01:47:05,2021-01-20 01:47:05,
45,appt_sts,"4",Pending info,,,,2021-01-20 01:47:05,2021-01-20 01:47:05,
46,appt_sts,"5",Completed,,,,2021-01-20 01:47:05,2021-01-20 01:47:05,
47,appt_sts,"6",Cancel,,,,2021-01-20 01:47:05,2021-01-20 01:47:05,
48,appt_sts,"7",Close,,,,2021-01-20 01:47:05,2021-01-20 01:47:05,
49,assesstype,"1",Provisional,,,,2021-01-20 01:47:05,2021-01-20 01:47:05,
50,assesstype,"2",Final,,,,2021-01-20 01:47:05,2021-01-20 01:47:05,
51,assesstype,"3",Multiple Injury,,,,2021-01-20 01:47:05,2021-01-20 01:47:05,
52,assesstype,"4",Final Multiple Injury,,,,2021-01-20 01:47:05,2021-01-20 01:47:05,
53,audtcat,"1",OB Profile,,,,2021-01-20 01:47:05,2021-01-20 01:47:05,
54,audtcat,"2",OB Contact Info,,,,2021-01-20 01:47:05,2021-01-20 01:47:05,
55,audtcat,"3",Employer Profile,,,,2021-01-20 01:47:05,2021-01-20 01:47:05,
56,audtcat,"4",Wages Details,,,,2021-01-20 01:47:05,2021-01-20 01:47:05,
57,audtcat,"5",Case Info,,,,2021-01-20 01:47:05,2021-01-20 01:47:05,
58,audtcat,"6",Accident Info,,,,2021-01-20 01:47:05,2021-01-20 01:47:05,
59,audtcat,"7",OD Info,,,,2021-01-20 01:47:05,2021-01-20 01:47:05,
60,audtcat,"8",Ilat Info,,,,2021-01-20 01:47:05,2021-01-20 01:47:05,
61,audtcat,"9",Dependant Profile,,,,2021-01-20 01:47:05,2021-01-20 01:47:05,
62,audtcat,"10",Guardian Profile,,,,2021-01-20 01:47:05,2021-01-20 01:47:05,
63,audtcat,"11",MC Info,,,,2021-01-20 01:47:05,2021-01-20 01:47:05,
64,audtcat,"12",Document Upload,,,,2021-01-20 01:47:05,2021-01-20 01:47:05,
65,audtcat,"13",Remarks,,,,2021-01-20 01:47:05,2021-01-20 01:47:05,
66,audtcat,"14",Prefered Socso Office,,,,2021-01-20 01:47:05,2021-01-20 01:47:05,
67,audtcat,"15",Employer Certification,,,,2021-01-20 01:47:05,2021-01-20 01:47:05,
68,audtcat,"16",Bank Info,,,,2021-01-20 01:47:05,2021-01-20 01:47:05,
69,audtcat,"17",J Section,,,,2021-01-20 01:47:05,2021-01-20 01:47:05,
70,audtcat,"18",Login,,,,2021-01-20 01:47:05,2021-01-20 01:47:05,
71,audtcat,"19",Logout,,,,2021-01-20 01:47:05,2021-01-20 01:47:05,
72,audtcat,"20",User Profile,,,,2021-01-20 01:47:05,2021-01-20 01:47:05,
73,audtcat,"21",Stop Payment,,,,2021-01-20 01:47:05,2021-01-20 01:47:05,
74,audtcat,"22",Workbasket,,,,2021-01-20 01:47:05,2021-01-20 01:47:05,
75,audtcat,"23",Case Activity,,,,2021-01-20 01:47:05,2021-01-20 01:47:05,
76,baists,"1",Active,,,,2021-01-20 01:47:05,2021-01-20 01:47:05,
77,baists,"2",Inactive,,,,2021-01-20 01:47:05,2021-01-20 01:47:05,
78,baists,"3",Suspense,,,,2021-01-20 01:47:05,2021-01-20 01:47:05,
79,baists,"4",Closed,,,,2021-01-20 01:47:05,2021-01-20 01:47:05,
80,bankcode,"1",CIMB Bank Berhad (CIMB),,,,2021-01-20 01:47:05,2021-01-20 01:47:05,
81,bankcode,"2",Maybank (MBB),,,,2021-01-20 01:47:05,2021-01-20 01:47:05,
