"ID","CODE_CATEGORY","REF_CODE","DESC_EN","DESC_BM","ADDBY","UPDATEBY","CREATED_AT","UPDATED_AT","PRIORITY"
172368,rtw_sp_serviceType,"1",PHYSIOTHERAPY,,,,2021-01-21 14:23:15,2021-01-21 14:23:15,
172369,rtw_sp_serviceType,"10",FIRST REGISTRATION FEES,,,,2021-01-21 14:23:15,2021-01-21 14:23:15,
172370,rtw_sp_serviceType,"100",TRUNK/ LOWER EXTREMITY FCE,,,,2021-01-21 14:23:15,2021-01-21 14:23:15,
172371,rtw_sp_serviceType,"101",CARDIOPULMONARY FCE,,,,2021-01-21 14:23:15,2021-01-21 14:23:15,
172372,rtw_sp_serviceType,"102",COGNITIVE/ PERCEPTUAL FUNCTION FCE,,,,2021-01-21 14:23:15,2021-01-21 14:23:15,
172373,rtw_sp_serviceType,"103",COMPLETE FCE (WHOLE BODY),,,,2021-01-21 14:23:15,2021-01-21 14:23:15,
172374,rtw_sp_serviceType,"104",CONSULTATION - REHAB SPECIALIST,,,,2021-01-21 14:23:15,2021-01-21 14:23:15,
172375,rtw_sp_serviceType,"105",CONSULTATION - REHAB SPECIALIST (FOLLOW UP),,,,2021-01-21 14:23:15,2021-01-21 14:23:15,
172376,rtw_sp_serviceType,"106",CONSULTATION - MEDICAL OFFICER,,,,2021-01-21 14:23:15,2021-01-21 14:23:19,
172377,rtw_sp_serviceType,"107",PHYSIOTHERAPY CONSULTATION,,,,2021-01-21 14:23:15,2021-01-21 14:23:19,
172378,rtw_sp_serviceType,"108",INITIAL BASELINE ASSESSMEN/REPORT,,,,2021-01-21 14:23:15,2021-01-21 14:23:15,
172379,rtw_sp_serviceType,"109",OUTCOME ASSESSMENT/REPORT,,,,2021-01-21 14:23:15,2021-01-21 14:23:15,
172380,rtw_sp_serviceType,"11",FOLLOW UP REGISTRATION FESS,,,,2021-01-21 14:23:15,2021-01-21 14:23:15,
172381,rtw_sp_serviceType,"110",PAKEJ - ACTIVE CONDITIONING TX,,,,2021-01-21 14:23:15,2021-01-21 14:23:15,
172382,rtw_sp_serviceType,"111",PAKEJ - ACUTE/SUBACUTE TX,,,,2021-01-21 14:23:15,2021-01-21 14:23:15,
172383,rtw_sp_serviceType,"112",PAKEJ - BACK PAIN,,,,2021-01-21 14:23:15,2021-01-21 14:23:15,
172384,rtw_sp_serviceType,"113",PAKEJ - NECK PAIN,,,,2021-01-21 14:23:15,2021-01-21 14:23:15,
172385,rtw_sp_serviceType,"114",PAKEJ - SHOULDER PAIN,,,,2021-01-21 14:23:15,2021-01-21 14:23:15,
172386,rtw_sp_serviceType,"115",PAKEJ - FOOT INJURY,,,,2021-01-21 14:23:15,2021-01-21 14:23:15,
172387,rtw_sp_serviceType,"116",PAKEJ - HIP INJURY,,,,2021-01-21 14:23:15,2021-01-21 14:23:15,
172388,rtw_sp_serviceType,"117",PAKEJ - MUSCULOSKELETAL/ ORTHO/ FRACTURE,,,,2021-01-21 14:23:15,2021-01-21 14:23:15,
172389,rtw_sp_serviceType,"118",PAKEJ - ARTHRITIS,,,,2021-01-21 14:23:15,2021-01-21 14:23:15,
172390,rtw_sp_serviceType,"119",PAKEJ - PAIN MANAGEMENT BASIC EXERCISE,,,,2021-01-21 14:23:15,2021-01-21 14:23:15,
172391,rtw_sp_serviceType,"12",HOME PHYSIOTHERAPY + MILEAGE,,,,2021-01-21 14:23:15,2021-01-21 14:23:15,
172392,rtw_sp_serviceType,"120",PAKEJ - PAIN MANAGEMENT COMPREHENSIVE,,,,2021-01-21 14:23:15,2021-01-21 14:23:15,
172393,rtw_sp_serviceType,"121",PAKEJ - 1 ELECTRICAL MODALITIES ORTHO,,,,2021-01-21 14:23:15,2021-01-21 14:23:15,
172394,rtw_sp_serviceType,"122",PAKEJ - 1 ELECTRICAL MODALITIES REHAB,,,,2021-01-21 14:23:15,2021-01-21 14:23:15,
172395,rtw_sp_serviceType,"13","HOME PHYSIOTHERAPY WITHOUT MILEAGE
(CAR RM/KM)",,,,2021-01-21 14:23:15,2021-01-21 14:23:18,
172396,rtw_sp_serviceType,"14","HOME PHYSIOTHERAPY WITHOUT MILEAGE
(MOTOR RM/KM)",,,,2021-01-21 14:23:15,2021-01-21 14:23:18,
172397,rtw_sp_serviceType,"15",REHAB DOCTOR CONSULTATION (INITIAL),,,,2021-01-21 14:23:15,2021-01-21 14:23:15,
172398,rtw_sp_serviceType,"16",REHAB DOCTOR CONSULTATION (FOLLOW UP SESSION),,,,2021-01-21 14:23:15,2021-01-21 14:23:15,
172399,rtw_sp_serviceType,"17",DOCTOR / MO CONSULTATION,,,,2021-01-21 14:23:15,2021-01-21 14:23:15,
172400,rtw_sp_serviceType,"18",PHYSIOTHERAPY ASSESSMENT / CONSULTATION (ONE TIME ONLY),,,,2021-01-21 14:23:15,2021-01-21 14:23:15,
172401,rtw_sp_serviceType,"19",OCCUPATIONAL THERAPY ASSESSMENT (GENERAL),,,,2021-01-21 14:23:15,2021-01-21 14:23:15,
172402,rtw_sp_serviceType,"2",OCCUPATIONAL THERAPY,,,,2021-01-21 14:23:15,2021-01-21 14:23:18,
172403,rtw_sp_serviceType,"20",OT NEURO ASSESSMENT,,,,2021-01-21 14:23:15,2021-01-21 14:23:15,
