"ID","STATE_CODE","ZONE_CODE","SERVICE_TYPE","SERVICE_CODE","PANEL_CODE","PRICE_BY_SESSION","PRICE_BY_MODALITIES","PRICE_BY_MEDIAN","ADDBY","UPDBY","CREATED_AT","UPDATED_AT","SELECTION_TYPE","PRICE_BY_NECESSITY"
1,"1","2","1","1","1",80.00,,80.00,,,2020-11-26 21:09:05,2020-11-26 21:09:05,state,
2,"1","2","1","1","2",80.00,,80.00,,,2020-11-26 21:09:06,2020-11-26 21:09:06,state,
3,"1","2","1","1","4",80.00,,80.00,,,2020-11-26 21:09:07,2020-11-26 21:09:07,state,
4,"1","2","1","1","5",80.00,,80.00,,,2020-11-26 21:09:07,2020-11-26 21:09:07,state,
5,"1","2","1","1","6",80.00,,80.00,,,2020-11-26 21:09:08,2020-11-26 21:09:08,state,
6,"1","2","1","1","7",80.00,,80.00,,,2020-11-26 21:09:09,2020-11-26 21:09:09,state,
7,"1","2","1","1","9",70.00,,80.00,,,2020-11-26 21:09:09,2020-11-26 21:09:09,state,
8,"1","2","1","1","11",80.00,,80.00,,,2020-11-26 21:09:10,2020-11-26 21:09:10,state,
9,"1","2","1","1","12",80.00,,80.00,,,2020-11-26 21:09:11,2020-11-26 21:09:11,state,
10,"1","2","1","1","13",80.00,,80.00,,,2020-11-26 21:09:11,2020-11-26 21:09:11,state,
11,"1","2","2","2","12",85.00,,85.00,,,2020-11-26 21:09:12,2020-11-26 21:09:12,state,
12,"1","2","4","4","12",130.00,,130.00,,,2020-11-26 21:09:13,2020-11-26 21:09:13,state,
13,"1","2","12","12","2",100.00,,105.00,,,2020-11-26 21:09:13,2020-11-26 21:09:13,state,
14,"1","2","12","12","6",110.00,,105.00,,,2020-11-26 21:09:14,2020-11-26 21:09:14,state,
15,"1","2","12","12","7",80.00,,105.00,,,2020-11-26 21:09:15,2020-11-26 21:09:15,state,
16,"1","2","12","12","11",100.00,,105.00,,,2020-11-26 21:09:15,2020-11-26 21:09:15,state,
17,"1","2","12","12","13",110.00,,105.00,,,2020-11-26 21:09:16,2020-11-26 21:09:16,state,
18,"1","2","12","12","131",110.00,,105.00,,,2020-11-26 21:09:17,2020-11-26 21:09:17,state,
19,"1","2","31","31","1",95.00,,95.00,,,2020-11-26 21:09:17,2020-11-26 21:09:17,state,
20,"1","2","37","37","1",45.00,,70.00,,,2020-11-26 21:09:18,2020-11-26 21:09:18,state,
21,"1","2","37","37","5",70.00,,70.00,,,2020-11-26 21:09:19,2020-11-26 21:09:19,state,
22,"1","2","37","37","7",80.00,,70.00,,,2020-11-26 21:09:19,2020-11-26 21:09:19,state,
23,"1","2","62","62","11",20.00,,25.00,,,2020-11-26 21:09:20,2020-11-26 21:09:20,state,
24,"1","2","63","63","11",30.00,,30.00,,,2020-11-26 21:09:21,2020-11-26 21:09:21,state,
25,"4","2","1","1","15",70.00,,70.00,,,2020-11-26 21:09:21,2020-11-26 21:09:21,state,
26,"4","2","1","1","16",70.00,,70.00,,,2020-11-26 21:09:22,2020-11-26 21:09:22,state,
27,"4","2","12","12","16",100.00,,105.00,,,2020-11-26 21:09:23,2020-11-26 21:09:23,state,
28,"4","2","12","12","131",110.00,,105.00,,,2020-11-26 21:09:23,2020-11-26 21:09:23,state,
29,"4","2","18","18","16",60.00,,60.00,,,2020-11-26 21:09:24,2020-11-26 21:09:24,state,
30,"5","2","1","1","18",90.00,,80.00,,,2020-11-26 21:09:25,2020-11-26 21:09:25,state,
31,"5","2","1","1","19",90.00,,80.00,,,2020-11-26 21:09:25,2020-11-26 21:09:25,state,
32,"5","2","1","1","21",70.00,,80.00,,,2020-11-26 21:09:27,2020-11-26 21:09:27,state,
33,"5","2","1","1","22",80.00,,80.00,,,2020-11-26 21:09:30,2020-11-26 21:09:30,state,
34,"5","2","1","1","23",80.00,,80.00,,,2020-11-26 21:09:31,2020-11-26 21:09:31,state,
35,"5","2","1","1","25",80.00,,80.00,,,2020-11-26 21:09:33,2020-11-26 21:09:33,state,
36,"5","2","2","2","23",87.00,,87.00,,,2020-11-26 21:09:35,2020-11-26 21:09:35,state,
37,"5","2","2","2","25",80.00,,87.00,,,2020-11-26 21:09:36,2020-11-26 21:09:36,state,
38,"5","2","4","4","23",130.00,,130.00,,,2020-11-26 21:09:37,2020-11-26 21:09:37,state,
39,"5","2","12","12","22",100.00,,100.00,,,2020-11-26 21:09:38,2020-11-26 21:09:38,state,
40,"5","2","12","12","15",100.00,,100.00,,,2020-11-26 21:09:39,2020-11-26 21:09:39,state,
41,"5","2","12","12","25",100.00,,100.00,,,2020-11-26 21:09:40,2020-11-26 21:09:40,state,
42,"5","2","18","18","18",90.00,,85.00,,,2020-11-26 21:09:41,2020-11-26 21:09:41,state,
43,"5","2","18","18","22",80.00,,85.00,,,2020-11-26 21:09:42,2020-11-26 21:09:42,state,
44,"5","2","28","28","23",200.00,,200.00,,,2020-11-26 21:09:43,2020-11-26 21:09:43,state,
45,"5","2","31","31","22",80.00,,96.50,,,2020-11-26 21:09:44,2020-11-26 21:09:44,state,
46,"5","2","31","31","23",113.00,,96.50,,,2020-11-26 21:09:47,2020-11-26 21:09:47,state,
47,"5","2","36","36","22",40.00,,40.00,,,2020-11-26 21:09:48,2020-11-26 21:09:48,state,
48,"5","2","37","37","19",90.00,,90.00,,,2020-11-26 21:09:49,2020-11-26 21:09:49,state,
49,"5","2","38","38","18",90.00,,90.00,,,2020-11-26 21:09:50,2020-11-26 21:09:50,state,
50,"5","2","38","38","19",90.00,,90.00,,,2020-11-26 21:09:51,2020-11-26 21:09:51,state,
51,"5","2","57","57","19",90.00,,80.00,,,2020-11-26 21:09:53,2020-11-26 21:09:53,state,
52,"5","2","61","61","18",90.00,,90.00,,,2020-11-26 21:09:53,2020-11-26 21:09:53,state,
53,"5","2","123","123","23",85.00,,85.00,,,2020-11-26 21:09:54,2020-11-26 21:09:54,state,
54,"9","1","1","1","26",50.00,,50.00,,,2020-11-26 21:09:55,2020-11-26 21:09:55,state,
55,"2","1","1","1","27",143.00,,60.00,,,2020-11-26 21:09:56,2020-11-26 21:09:56,state,
56,"2","1","1","1","28",60.00,,60.00,,,2020-11-26 21:09:57,2020-11-26 21:09:57,state,
57,"2","1","1","1","29",60.00,,60.00,,,2020-11-26 21:09:58,2020-11-26 21:09:58,state,
58,"2","1","1","1","33",60.00,,60.00,,,2020-11-26 21:09:59,2020-11-26 21:09:59,state,
59,"2","1","1","1","34",60.00,,60.00,,,2020-11-26 21:10:00,2020-11-26 21:10:00,state,
60,"2","1","1","1","35",80.00,,60.00,,,2020-11-26 21:10:01,2020-11-26 21:10:01,state,
61,"2","1","2","2","29",60.00,,60.00,,,2020-11-26 21:10:02,2020-11-26 21:10:02,state,
62,"2","1","4","4","29",80.00,,80.00,,,2020-11-26 21:10:03,2020-11-26 21:10:03,state,
63,"2","1","12","12","29",110.00,,110.00,,,2020-11-26 21:10:03,2020-11-26 21:10:03,state,
64,"2","1","12","12","33",100.00,,110.00,,,2020-11-26 21:10:04,2020-11-26 21:10:04,state,
65,"2","1","12","12","34",110.00,,110.00,,,2020-11-26 21:10:05,2020-11-26 21:10:05,state,
66,"2","1","12","12","35",100.00,,110.00,,,2020-11-26 21:10:06,2020-11-26 21:10:06,state,
67,"2","1","12","12","131",110.00,,110.00,,,2020-11-26 21:10:07,2020-11-26 21:10:07,state,
68,"2","1","18","18","27",195.00,,137.50,,,2020-11-26 21:10:07,2020-11-26 21:10:07,state,
69,"2","1","18","18","35",80.00,,137.50,,,2020-11-26 21:10:08,2020-11-26 21:10:08,state,
70,"2","1","31","31","27",220.00,,150.00,,,2020-11-26 21:10:08,2020-11-26 21:10:08,state,
71,"2","1","31","31","35",80.00,,150.00,,,2020-11-26 21:10:09,2020-11-26 21:10:09,state,
72,"2","1","36","36","35",40.00,,40.00,,,2020-11-26 21:10:10,2020-11-26 21:10:10,state,
73,"2","1","38","38","36",70.00,,70.00,,,2020-11-26 21:10:10,2020-11-26 21:10:10,state,
74,"2","1","39","39","36",70.00,,70.00,,,2020-11-26 21:10:11,2020-11-26 21:10:11,state,
75,"2","1","131","131","36",60.00,,60.00,,,2020-11-26 21:10:12,2020-11-26 21:10:12,state,
76,"2","1","132","132","36",60.00,,60.00,,,2020-11-26 21:10:12,2020-11-26 21:10:12,state,
77,"2","1","133","133","36",70.00,,70.00,,,2020-11-26 21:10:13,2020-11-26 21:10:13,state,
78,"7","1","1","1","37",55.00,,70.00,,,2020-11-26 21:10:13,2020-11-26 21:10:13,state,
79,"7","1","1","1","39",80.00,,70.00,,,2020-11-26 21:10:14,2020-11-26 21:10:14,state,
80,"7","1","1","1","40",70.00,,70.00,,,2020-11-26 21:10:15,2020-11-26 21:10:15,state,
