"ID","SERVICE_TYPE","SERVICE","SERVICE_PLAN","IS_MILEAGE_APPLICABLE","ADDBY","UPDBY","CREATED_AT","UPDATED_AT"
1,"1","1","3",,,,2020-11-26 20:25:27,2020-11-26 20:25:27
2,"1","2","3",,,,2020-11-26 20:25:28,2020-11-26 20:25:28
3,"1","3","3",,,,2020-11-26 20:25:29,2020-11-26 20:25:29
4,"1","4","3",,,,2020-11-26 20:25:29,2020-11-26 20:25:29
5,"1","5","3",,,,2020-11-26 20:25:30,2020-11-26 20:25:30
6,"1","6","3",,,,2020-11-26 20:25:31,2020-11-26 20:25:31
7,"1","7","3",,,,2020-11-26 20:25:32,2020-11-26 20:25:32
8,"1","8","3",,,,2020-11-26 20:25:33,2020-11-26 20:25:33
9,"1","9","3",,,,2020-11-26 20:25:33,2020-11-26 20:25:33
10,"1","10","3",,,,2020-11-26 20:25:34,2020-11-26 20:25:34
11,"1","11","3",,,,2020-11-26 20:25:35,2020-11-26 20:25:35
12,"1","12","3",,,,2020-11-26 20:25:36,2020-11-26 20:25:36
13,"1","13","3",,,,2020-11-26 20:25:36,2020-11-26 20:25:36
14,"1","14","3",,,,2020-11-26 20:25:37,2020-11-26 20:25:37
15,"1","15","3",,,,2020-11-26 20:25:38,2020-11-26 20:25:38
16,"1","16","3",,,,2020-11-26 20:25:39,2020-11-26 20:25:39
17,"1","31","3",,,,2020-11-26 20:25:39,2020-11-26 20:25:39
18,"2","17","3",,,,2020-11-26 20:25:40,2020-11-26 20:25:40
19,"2","18","3",,,,2020-11-26 20:25:41,2020-11-26 20:25:41
20,"2","19","3",,,,2020-11-26 20:25:42,2020-11-26 20:25:42
21,"2","20","3",,,,2020-11-26 20:25:42,2020-11-26 20:25:42
22,"2","21","3",,,,2020-11-26 20:25:43,2020-11-26 20:25:43
23,"2","22","3",,,,2020-11-26 20:25:44,2020-11-26 20:25:44
24,"2","23","3",,,,2020-11-26 20:25:44,2020-11-26 20:25:44
25,"2","24","3",,,,2020-11-26 20:25:45,2020-11-26 20:25:45
26,"2","25","3",,,,2020-11-26 20:25:46,2020-11-26 20:25:46
27,"2","26","3",,,,2020-11-26 20:25:47,2020-11-26 20:25:47
28,"2","27","3",,,,2020-11-26 20:25:47,2020-11-26 20:25:47
29,"2","28","3",,,,2020-11-26 20:25:48,2020-11-26 20:25:48
30,"2","29","3",,,,2020-11-26 20:25:49,2020-11-26 20:25:49
31,"4","30","3",,,,2020-11-26 20:25:49,2020-11-26 20:25:49
32,"2","31","3",,,,2020-11-26 20:25:50,2020-11-26 20:25:50
33,"4","31","3",,,,2020-11-26 20:25:51,2020-11-26 20:25:51
34,"6","30","3",,,,2020-11-26 20:25:52,2020-11-26 20:25:52
35,"6","31","3",,,,2020-11-26 20:25:52,2020-11-26 20:25:52
36,"104","32","3",,,,2020-11-26 20:25:53,2020-11-26 20:25:53
37,"106","32","3",,,,2020-11-26 20:25:54,2020-11-26 20:25:54
38,"106","33","3",,,,2020-11-26 20:25:55,2020-11-26 20:25:55
39,"104","33","3",,,,2020-11-26 20:25:55,2020-11-26 20:25:55
40,"129","36","3",,,,2020-11-26 20:25:56,2020-11-26 20:25:56
41,"129","37","3",,,,2020-11-26 20:25:57,2020-11-26 20:25:57
42,"129","38","3",,,,2020-11-26 20:25:58,2020-11-26 20:25:58
43,"129","39","3",,,,2020-11-26 20:25:58,2020-11-26 20:25:58
44,"129","40","3",,,,2020-11-26 20:25:59,2020-11-26 20:25:59
45,"129","41","3",,,,2020-11-26 20:26:00,2020-11-26 20:26:00
46,"129","42","3",,,,2020-11-26 20:26:01,2020-11-26 20:26:01
47,"129","43","3",,,,2020-11-26 20:26:01,2020-11-26 20:26:01
48,"129","44","3",,,,2020-11-26 20:26:02,2020-11-26 20:26:02
49,"129","45","3",,,,2020-11-26 20:26:03,2020-11-26 20:26:03
50,"129","46","3",,,,2020-11-26 20:26:03,2020-11-26 20:26:03
51,"129","47","3",,,,2020-11-26 20:26:04,2020-11-26 20:26:04
52,"128","48","1",,,,2020-11-26 20:26:05,2020-11-26 20:26:05
53,"128","49","1",,,,2020-11-26 20:26:05,2020-11-26 20:26:05
54,"128","50","1",,,,2020-11-26 20:26:06,2020-11-26 20:26:06
55,"128","51","1",,,,2020-11-26 20:26:07,2020-11-26 20:26:07
56,"128","52","1",,,,2020-11-26 20:26:07,2020-11-26 20:26:07
57,"128","53","1",,,,2020-11-26 20:26:08,2020-11-26 20:26:08
58,"128","54","1",,,,2020-11-26 20:26:09,2020-11-26 20:26:09
59,"128","31","1",,,,2020-11-26 20:26:10,2020-11-26 20:26:10
60,"129","31","3",,,,2020-11-26 20:26:11,2020-11-26 20:26:11
61,"2","11","3",,,,2020-11-26 20:26:11,2020-11-26 20:26:11
62,"131","55","3",TRUE,,,2020-11-26 20:26:12,2020-11-26 20:26:12
