JOHOR,PHYSIOTHERAPY,Physiotherapy Treatment,SINAR REHABILITATION CENTRE (SEGAMAT),80.0
JOHOR,FUNCTIONAL CAPACITY EVALUATION & REPORT,Basic FCE,SINAR REHABILITATION CENTRE (SEGAMAT),95.0
JOHOR,SERVICES BY MODALITIES,Basic Equipment - Traction,SINAR REHABILITATION CENTRE (SEGAMAT),53.0
JOHOR,SERVICES BY PACKAGE,Pakej - Neuro Rehab,SINAR REHABILITATION CENTRE (SEGAMAT),45.0
MELAKA,PHYSIOTHERAPY,Physiotherapy Treatment,TAGS SPINE & JOINT SPECIALISTS (MELAKA),70.0
N9,PHYSIOTHERAPY,Physiotherapy Treatment,MAWAR MEDICAL CENTRE (SEREMBAN),90.0
N9,SERVICES BY PACKAGE,Pakej - Neuro Rehab,MAWAR MEDICAL CENTRE (SEREMBAN),90.0
N9,SERVICES BY PACKAGE,Pakej - Pain Management,MAWAR MEDICAL CENTRE (SEREMBAN),70.0
N9,SERVICES BY PACKAGE,Pakej - Sport Rehab,MAWAR MEDICAL CENTRE (SEREMBAN),80.0
N9,SERVICES BY PACKAGE,Pakej - Cardiac Rehab,MAWAR MEDICAL CENTRE (SEREMBAN),70.0
N9,SERVICES BY PACKAGE,Pakej - General Exercise,MAWAR MEDICAL CENTRE (SEREMBAN),60.0
ZON SELATAN,PHYSIOTHERAPY,Physiotherapy Treatment,SINAR REHABILITATION CENTRE (SEGAMAT),80.0
ZON SELATAN,FUNCTIONAL CAPACITY EVALUATION & REPORT,Basic FCE,SINAR REHABILITATION CENTRE (SEGAMAT),95.0
ZON SELATAN,SERVICES BY MODALITIES,Basic Equipment - Traction,SINAR REHABILITATION CENTRE (SEGAMAT),53.0
ZON SELATAN,SERVICES BY PACKAGE,Pakej - Neuro Rehab,SINAR REHABILITATION CENTRE (SEGAMAT),45.0
KEDAH,PHYSIOTHERAPY,Physiotherapy Treatment,DOCUMENTATION BASED CARE (DBC ALOR SETAR),143.0
KEDAH,ASSESSMENT & REPORT,General Pt  Assessment & Report,DOCUMENTATION BASED CARE (DBC ALOR SETAR),195.0
KEDAH,FUNCTIONAL CAPACITY EVALUATION & REPORT,Basic FCE,DOCUMENTATION BASED CARE (DBC ALOR SETAR),220.0
PP,PHYSIOTHERAPY,Hand Function Training,KPJ PENANG SPECIALIST HOSPITAL SDN BHD (SEBERANG PERAI),40.0
PP,PHYSIOTHERAPY,Fine Motor Training,KPJ PENANG SPECIALIST HOSPITAL SDN BHD (SEBERANG PERAI),35.0
PP,PHYSIOTHERAPY,Cognitive Training,KPJ PENANG SPECIALIST HOSPITAL SDN BHD (SEBERANG PERAI),40.0
PP,OCCUPATIONAL THERAPY,Ot Tx/ Therapeutic Exercise,KPJ PENANG SPECIALIST HOSPITAL SDN BHD (SEBERANG PERAI),40.0
PP,OCCUPATIONAL THERAPY,Work Simulation Training / Work Hardening,KPJ PENANG SPECIALIST HOSPITAL SDN BHD (SEBERANG PERAI),70.0
PP,OCCUPATIONAL THERAPY,Sensory Education,KPJ PENANG SPECIALIST HOSPITAL SDN BHD (SEBERANG PERAI),30.0
PP,ASSESSMENT & REPORT,General Ot  Assessment & Report,KPJ PENANG SPECIALIST HOSPITAL SDN BHD (SEBERANG PERAI),30.0
PP,ADMINISTRATION SERVICES,First Registration Fees,KPJ PENANG SPECIALIST HOSPITAL SDN BHD (SEBERANG PERAI),5.0
PP,ADMINISTRATION SERVICES,Follow Up Registration Fess,KPJ PENANG SPECIALIST HOSPITAL SDN BHD (SEBERANG PERAI),2.0
PP,SERVICES BY MODALITIES,Basic Equipment -Therapeutic Ultrasound,KPJ PENANG SPECIALIST HOSPITAL SDN BHD (SEBERANG PERAI),30.0
PP,SERVICES BY MODALITIES,Basic Equipment - Paraffin Wax,KPJ PENANG SPECIALIST HOSPITAL SDN BHD (SEBERANG PERAI),30.0
PP,SERVICES BY MODALITIES,Basic Equipment - Interferential IFT,KPJ PENANG SPECIALIST HOSPITAL SDN BHD (SEBERANG PERAI),30.0
PP,SERVICES BY MODALITIES,Basic Equipment - Hot Pack,KPJ PENANG SPECIALIST HOSPITAL SDN BHD (SEBERANG PERAI),20.0
PP,SERVICES BY MODALITIES,Advance Equipment - Laser – Low Intensity or High Intensity,KPJ PENANG SPECIALIST HOSPITAL SDN BHD (SEBERANG PERAI),80.0
PP,SERVICES BY MODALITIES,Advance Equipment - Shock Wave Therapy,KPJ PENANG SPECIALIST HOSPITAL SDN BHD (SEBERANG PERAI),80.0
PP,SERVICES BY MODALITIES,Advance Equipment - Cryotherapy,KPJ PENANG SPECIALIST HOSPITAL SDN BHD (SEBERANG PERAI),20.0
PP,SERVICES BY PACKAGE,Pakej - Respiratory Exercise,KPJ PENANG SPECIALIST HOSPITAL SDN BHD (SEBERANG PERAI),50.0
PERAK,PHYSIOTHERAPY,Physiotherapy Treatment,"PANTAI INTEGRATED REHAB SERVICES SDN BHD, HOSPITAL PANTAI IPOH (IPOH)",80.0
PERAK,SERVICES BY PACKAGE,Pakej - Neuro Rehab,"PANTAI INTEGRATED REHAB SERVICES SDN BHD, HOSPITAL PANTAI IPOH (IPOH)",145.0
ZON UTARA,PHYSIOTHERAPY,Physiotherapy Treatment,DOCUMENTATION BASED CARE (DBC ALOR SETAR),143.0
