"STATE_CODE","ZONE_CODE","SERVICE_TYPE","SERVICE","PANEL_CODE","PRICE_BY_SESSION","ADDBY","UPDBY"
1,,rtw_st_phy,rtw_s1_phy,rtw_panel_SEGA,80.0,,
1,,rtw_st_fun,rtw_s64_bas,rtw_panel_SEGA,95.0,,
1,,rtw_st_sbm,rtw_s107_bas,rtw_panel_SEGA,53.0,,
1,,rtw_st_sbp,rtw_s139_pak,rtw_panel_SEGA,45.0,,
4,,rtw_st_phy,rtw_s1_phy,rtw_panel_MELA,70.0,,
17,,rtw_st_phy,rtw_s1_phy,rtw_panel_SERE,90.0,,
17,,rtw_st_sbp,rtw_s139_pak,rtw_panel_SERE,90.0,,
17,,rtw_st_sbp,rtw_s146_pak,rtw_panel_SERE,70.0,,
17,,rtw_st_sbp,rtw_s147_pak,rtw_panel_SERE,80.0,,
17,,rtw_st_sbp,rtw_s148_pak,rtw_panel_SERE,70.0,,
17,,rtw_st_sbp,rtw_s149_pak,rtw_panel_SERE,60.0,,
,2,rtw_st_phy,rtw_s1_phy,rtw_panel_SEGA,80.0,,
,2,rtw_st_fun,rtw_s64_bas,rtw_panel_SEGA,95.0,,
,2,rtw_st_sbm,rtw_s107_bas,rtw_panel_SEGA,53.0,,
,2,rtw_st_sbp,rtw_s139_pak,rtw_panel_SEGA,45.0,,
2,,rtw_st_phy,rtw_s1_phy,rtw_panel_DBC ,143.0,,
2,,rtw_st_ass,rtw_s49_gen,rtw_panel_DBC ,195.0,,
2,,rtw_st_fun,rtw_s64_bas,rtw_panel_DBC ,220.0,,
18,,rtw_st_phy,rtw_s22_han,rtw_panel_SEBE,40.0,,
18,,rtw_st_phy,rtw_s23_fin,rtw_panel_SEBE,35.0,,
18,,rtw_st_phy,rtw_s24_cog,rtw_panel_SEBE,40.0,,
18,,rtw_st_occ,rtw_s31_ot ,rtw_panel_SEBE,40.0,,
18,,rtw_st_occ,rtw_s35_wor,rtw_panel_SEBE,70.0,,
18,,rtw_st_occ,rtw_s42_sen,rtw_panel_SEBE,30.0,,
18,,rtw_st_ass,rtw_s50_gen,rtw_panel_SEBE,30.0,,
18,,rtw_st_adm,rtw_s73_fir,rtw_panel_SEBE,5.0,,
18,,rtw_st_adm,rtw_s74_fol,rtw_panel_SEBE,2.0,,
18,,rtw_st_sbm,rtw_s77_bas,rtw_panel_SEBE,30.0,,
18,,rtw_st_sbm,rtw_s82_bas,rtw_panel_SEBE,30.0,,
18,,rtw_st_sbm,rtw_s104_bas,rtw_panel_SEBE,30.0,,
18,,rtw_st_sbm,rtw_s106_bas,rtw_panel_SEBE,20.0,,
18,,rtw_st_sbm,rtw_s130_adv,rtw_panel_SEBE,80.0,,
18,,rtw_st_sbm,rtw_s131_adv,rtw_panel_SEBE,80.0,,
18,,rtw_st_sbm,rtw_s137_adv,rtw_panel_SEBE,20.0,,
18,,rtw_st_sbp,rtw_s150_pak,rtw_panel_SEBE,50.0,,
8,,rtw_st_phy,rtw_s1_phy,rtw_panel_IPOH,80.0,,
8,,rtw_st_sbp,rtw_s139_pak,rtw_panel_IPOH,145.0,,
9,,rtw_st_phy,rtw_s1_phy,rtw_panel_APOL,50.0,,
,1,rtw_st_phy,rtw_s1_phy,rtw_panel_DBC ,143.0,,
,1,rtw_st_ass,rtw_s49_gen,rtw_panel_DBC ,195.0,,
,1,rtw_st_fun,rtw_s64_bas,rtw_panel_DBC ,220.0,,
6,,rtw_st_phy,rtw_s1_phy,rtw_panel_KUAN,80.0,,
6,,rtw_st_sbp,rtw_s139_pak,rtw_panel_KUAN,80.0,,
6,,rtw_st_sbp,rtw_s152_pak,rtw_panel_KUAN,80.0,,
3,,rtw_st_phy,rtw_s1_phy,rtw_panel_POTC,70.0,,
3,,rtw_st_phy,rtw_s11_hyd,rtw_panel_POTC,50.0,,
3,,rtw_st_phy,rtw_s32_hom,rtw_panel_POTC,100.0,,
3,,rtw_st_occ,rtw_s25_occ,rtw_panel_POTC,70.0,,
3,,rtw_st_spe,rtw_s43_spe,rtw_panel_POTC,70.0,,
11,,rtw_st_sbm,rtw_s77_bas,rtw_panel_KEMA,25.0,,
11,,rtw_st_sbm,rtw_s79_bas,rtw_panel_KEMA,25.0,,
11,,rtw_st_sbm,rtw_s82_bas,rtw_panel_KEMA,25.0,,
11,,rtw_st_sbm,rtw_s104_bas,rtw_panel_KEMA,25.0,,
11,,rtw_st_sbm,rtw_s106_bas,rtw_panel_KEMA,25.0,,
11,,rtw_st_sbm,rtw_s107_bas,rtw_panel_KEMA,25.0,,
11,,rtw_st_sbm,rtw_s111_bas,rtw_panel_KEMA,25.0,,
11,,rtw_st_sbm,rtw_s115_bas,rtw_panel_KEMA,25.0,,
11,,rtw_st_sbm,rtw_s137_adv,rtw_panel_KEMA,25.0,,
,3,rtw_st_phy,rtw_s1_phy,rtw_panel_KUAN,80.0,,
,3,rtw_st_sbp,rtw_s139_pak,rtw_panel_KUAN,80.0,,
,3,rtw_st_sbp,rtw_s152_pak,rtw_panel_KUAN,80.0,,
12,,rtw_st_phy,rtw_s1_phy,rtw_panel_LABU,80.0,,
12,,rtw_st_phy,rtw_s32_hom,rtw_panel_LABU,100.0,,
12,,rtw_st_ass,rtw_s49_gen,rtw_panel_LABU,30.0,,
12,,rtw_st_sbp,rtw_s139_pak,rtw_panel_LABU,80.0,,
12,,rtw_st_sbp,rtw_s152_pak,rtw_panel_LABU,80.0,,
13,,rtw_st_phy,rtw_s1_phy,rtw_panel_ DBC,143.0,,
13,,rtw_st_ass,rtw_s50_gen,rtw_panel_ DBC,195.0,,
13,,rtw_st_fun,rtw_s65_com,rtw_panel_ DBC,220.0,,
,4,rtw_st_phy,rtw_s1_phy,rtw_panel_LABU,80.0,,
,4,rtw_st_phy,rtw_s32_hom,rtw_panel_LABU,100.0,,
,4,rtw_st_ass,rtw_s49_gen,rtw_panel_LABU,30.0,,
,4,rtw_st_sbp,rtw_s139_pak,rtw_panel_LABU,80.0,,
,4,rtw_st_sbp,rtw_s152_pak,rtw_panel_LABU,80.0,,
14,,rtw_st_phy,rtw_s1_phy,rtw_panel_DBC ,143.0,,
14,,rtw_st_ass,rtw_s49_gen,rtw_panel_DBC ,195.0,,
14,,rtw_st_fun,rtw_s64_bas,rtw_panel_DBC ,220.0,,
10,,rtw_st_phy,rtw_s1_phy,rtw_panel_KELA,90.0,,
10,,rtw_st_phy,rtw_s11_hyd,rtw_panel_KELA,80.0,,
10,,rtw_st_occ,rtw_s25_occ,rtw_panel_KELA,90.0,,
10,,rtw_st_occ,rtw_s42_sen,rtw_panel_KELA,80.0,,
10,,rtw_st_spe,rtw_s43_spe,rtw_panel_KELA,150.0,,
10,,rtw_st_psy,rtw_s44_psy,rtw_panel_KELA,110.0,,
10,,rtw_st_con,rtw_s45_reh,rtw_panel_KELA,190.0,,
10,,rtw_st_con,rtw_s46_reh,rtw_panel_KELA,190.0,,
10,,rtw_st_con,rtw_s47_med,rtw_panel_KELA,50.0,,
10,,rtw_st_ass,rtw_s51_neu,rtw_panel_KELA,120.0,,
