"ID","CODE_CATEGORY","REF_CODE","DESC_EN","DESC_BM","ADDBY","UPDATEBY","CREATED_AT","UPDATED_AT","PRIORITY"
19000,panel_code,rtw_SINAR_SEGAMAT,SINAR REHABILITATION CENTRE (SEGAMAT),,,,,,
19001,panel_code,rtw_REHAB_KLUANG,REHAB HEALTHCARE SDN BHD (KLUANG),,,,,,
19002,panel_code,rtw_KLUANG_KLUANG,KLUANG UTAMA SPECIALIST HOSPITAL (KLUANG),,,,,,
19003,panel_code,rtw_JB_JB,JB PHYSIOTHERAPY SDN BHD (JB),,,,,,
19004,panel_code,rtw_GREAT_JB,GREAT LIFE PHYSIO & REHABILITATION (JB),,,,,,
19005,panel_code,rtw_BP_BATU PAHAT,BP PHYSIOTHERAPY CENTRE (BATU PAHAT),,,,,,
19006,panel_code,rtw_TAGS_JB,TAGS SPINE & JOINT SPECIALISTS (JB),,,,,,
19007,panel_code,rtw_EPISODE_BATU PAHAT,EPISODE FISIOTERAPI DAN PEMULIHAN (BATU PAHAT),,,,,,
19008,panel_code,rtw_PANTAI,'PANTAI INTEGRATED REHAB SERVICES SDN BHD, HOSPITAL PANTAI BATU PAHAT',,,,,,
19009,panel_code,rtw_PHYSIOMOBILEMY_JB,'PHYSIOMOBILEMY SERVICES, PMMY GROUP SDN BHD (JB)',,,,,,
19010,panel_code,rtw_HMC_SHAH ALAM,HMC PROVIDERS SDN BHD (SHAH ALAM),,,,,,
19011,panel_code,rtw_TAGS_MELAKA,TAGS SPINE & JOINT SPECIALISTS (MELAKA),,,,,,
19012,panel_code,rtw_EZ_MELAKA,EZ PHYSIOTHERAPY CENTER (MELAKA),,,,,,
19013,panel_code,rtw_NSCMH_SEREMBAN,NSCMH MEDICAL CENTRE (SEREMBAN),,,,,,
19014,panel_code,rtw_SALAM_SENAWANG,SALAM SENAWANG SPECIALIST CENTRE (SENAWANG),,,,,,
19015,panel_code,rtw_TAGS_SEREMBAN,TAGS SPINE & JOINT SPECIALISTS (SEREMBAN),,,,,,
19016,panel_code,rtw_BAINS_NILAI,'BAINS PHYSIO, BAINS THERAPEUTICS CENTRE SDN BHD (NILAI)',,,,,,
19017,panel_code,rtw_KPJ_SEREMBAN,KPJ SEREMBAN SPECIALIST HOSPITAL (SEREMBAN),,,,,,
19018,panel_code,rtw_SE,SE SENAWANG PHYSIOTHERAPY & HOME REHAB CENTRE,,,,,,
19019,panel_code,rtw_APOLLO,APOLLO PHYSIOTHERAPY CENTRE,,,,,,
19020,panel_code,rtw_DOCUMENTATION_DBC ALOR SETAR,DOCUMENTATION BASED CARE (DBC ALOR SETAR),,,,,,
19021,panel_code,rtw_LIFECARE_SUNGAI PETANI,LIFECARE PHYSIOTHERAPY CENTRE (SUNGAI PETANI),,,,,,
19022,panel_code,rtw_MEDYNA_ALOR SETAR,MEDYNA PHYSIO AND REHAB SERVICES (ALOR SETAR),,,,,,
19023,panel_code,rtw_LANGKAWAI_LANGKAWI,LANGKAWAI PHYSIOTHERAPY CENTRE (LANGKAWI),,,,,,
19024,panel_code,rtw_PHYSIOTHERAPY_KULIM,PHYSIOTHERAPY KULIM CENTRE (KULIM),,,,,,
19025,panel_code,rtw_BAINS_ALOR SETAR,BAINS PHYSIO (ALOR SETAR),,,,,,
19026,panel_code,rtw_PUSAT,PUSAT RAWATAN FISIOTERAPI IMPIANA,,,,,,
19027,panel_code,rtw_WELL_BUKIT MERTAJAM,WELL PHYSIO SDN BHD (BUKIT MERTAJAM),,,,,,
19028,panel_code,rtw_DEE_BUKIT MERTAJAM,DEE B.M. PHYSIOTHERAPY & REHABILITATION CENTRE (BUKIT MERTAJAM),,,,,,
19029,panel_code,rtw_TAGS_PENANG,TAGS SPINE & JOINT SPECIALISTS (PENANG) - BAYAN LEPAS,,,,,,
19030,panel_code,rtw_RESTORE_KEPALA BATAS,RESTORE PHYSIO & REHAB CENTRE (KEPALA BATAS),,,,,,
19031,panel_code,rtw_OUR_BAYAN LEPAS,OUR PHYSIO SDN BHD (BAYAN LEPAS),,,,,,
19032,panel_code,rtw_DIAMAGNETIC_CHERAS,DIAMAGNETIC PHYSIO CENTRE SDN BHD (CHERAS),,,,,,
19033,panel_code,rtw_PHYSIOACTIVE_TELUK INTAN,PHYSIOACTIVE REHAB & HEALTHCARE CENTRE (TELUK INTAN),,,,,,
19034,panel_code,rtw_PAIN_IPOH,PAIN PARALYSIS PHYSIOTHERAPY CENTRE (IPOH),,,,,,
19035,panel_code,rtw_DOCUMENTATION_DBC IPOH,DOCUMENTATION BASED CARE (DBC IPOH),,,,,,
19036,panel_code,rtw_COLUMBIA_TAIPING,COLUMBIA ASIA HOSPITAL TAIPING (TAIPING),,,,,,
19037,panel_code,rtw_ANSON_TELUK INTAN,ANSON BAY MEDICAL CENTRE (TELUK INTAN),,,,,,
19038,panel_code,rtw_REHAB_SITIAWAN,REHAB CARE PHYSIOTHERAPY CENTRE (SITIAWAN),,,,,,
19039,panel_code,rtw_TAGS_IPOH,TAGS SPINE & JOINT SPECIALISTS (IPOH),,,,,,
19040,panel_code,rtw_DIAMAGNETIC_IPOH,DIAMAGNETIC PHYSIO CENTRE SDN BHD (IPOH),,,,,,
19041,panel_code,rtw_YAYASAN_IPOH,YAYASAN SULTAN IDRIS SHAH BAGI ORANG KURANG UPAYA PERAK (IPOH),,,,,,
19042,panel_code,rtw_C,C KAY FITNESS RESOURCES,,,,,,
19043,panel_code,rtw_KUANTAN_KUANTAN,KUANTAN MEDICAL CENTRE (KUANTAN),,,,,,
19044,panel_code,rtw_KPJ_KUANTAN,KPJ PAHANG SPECIALIST HOSPITAL SDN BHD (KUANTAN),,,,,,
19045,panel_code,rtw_ACE_CAMERON HIGHLANDS,ACE PHYSIOTHERAPY CENTRE (CAMERON HIGHLANDS),,,,,,
