ID,CODE_CATEGORY,REF_CODE,DESC_EN,DESC_BM,ADDBY,UPDATEBY,CREATED_AT,UPDATED_AT,PRIORITY
19000,panel_code,rtw_panel_1_SINAR,SINAR REHABILITATION CENTRE (SEGAMAT),,,,,,
19001,panel_code,rtw_panel_1_REHAB,REHAB HEALTHCARE SDN BHD (KLUANG),,,,,,
19002,panel_code,rtw_panel_1_KLUANG,KLUANG UTAMA SPECIALIST HOSPITAL (KLUANG),,,,,,
19003,panel_code,rtw_panel_1_JB,JB PHYSIOTHERAPY SDN BHD (JB),,,,,,
19004,panel_code,rtw_panel_1_GREAT,GREAT LIFE PHYSIO & REHABILITATION (JB),,,,,,
19005,panel_code,rtw_panel_1_BP,BP PHYSIOTHERAPY CENTRE (BATU PAHAT),,,,,,
19006,panel_code,rtw_panel_1_TAGS,TAGS SPINE & JOINT SPECIALISTS (JB),,,,,,
19007,panel_code,rtw_panel_1_EPISODE,EPISODE FISIOTERAPI DAN PEMULIHAN (BATU PAHAT),,,,,,
19008,panel_code,rtw_panel_1_PANTAI,"PANTAI INTEGRATED REHAB SERVICES SDN BHD, HOSPITAL PANTAI BATU PAHAT",,,,,,
19009,panel_code,rtw_panel_1_PHYSIOMOBILEMY,"PHYSIOMOBILEMY SERVICES, PMMY GROUP SDN BHD (JB)",,,,,,
19010,panel_code,rtw_panel_1_HMC,HMC PROVIDERS SDN BHD (SHAH ALAM),,,,,,
19011,panel_code,rtw_panel_4_TAGS,TAGS SPINE & JOINT SPECIALISTS (MELAKA),,,,,,
19012,panel_code,rtw_panel_4_EZ,EZ PHYSIOTHERAPY CENTER (MELAKA),,,,,,
19013,panel_code,rtw_panel_4_HMC,HMC PROVIDERS SDN BHD (SHAH ALAM),,,,,,
19014,panel_code,rtw_panel_17_NSCMH,NSCMH MEDICAL CENTRE (SEREMBAN),,,,,,
19015,panel_code,rtw_panel_17_SALAM,SALAM SENAWANG SPECIALIST CENTRE (SENAWANG),,,,,,
19016,panel_code,rtw_panel_17_TAGS,TAGS SPINE & JOINT SPECIALISTS (SEREMBAN),,,,,,
19017,panel_code,rtw_panel_17_BAINS,"BAINS PHYSIO, BAINS THERAPEUTICS CENTRE SDN BHD (NILAI)",,,,,,
19018,panel_code,rtw_panel_17_KPJ,KPJ SEREMBAN SPECIALIST HOSPITAL (SEREMBAN),,,,,,
19019,panel_code,rtw_panel_17_SE,SE SENAWANG PHYSIOTHERAPY & HOME REHAB CENTRE,,,,,,
19020,panel_code,rtw_panel_17_TAGS,TAGS SPINE & JOINT SPECIALISTS (MELAKA),,,,,,
19021,panel_code,rtw_panel_9_APOLLO,APOLLO PHYSIOTHERAPY CENTRE,,,,,,
19022,panel_code,rtw_panel_2_DOCUMENTATION,DOCUMENTATION BASED CARE (DBC ALOR SETAR),,,,,,
19023,panel_code,rtw_panel_2_LIFECARE,LIFECARE PHYSIOTHERAPY CENTRE (SUNGAI PETANI),,,,,,
19024,panel_code,rtw_panel_2_MEDYNA,MEDYNA PHYSIO AND REHAB SERVICES (ALOR SETAR),,,,,,
19025,panel_code,rtw_panel_2_LANGKAWAI,LANGKAWAI PHYSIOTHERAPY CENTRE (LANGKAWI),,,,,,
19026,panel_code,rtw_panel_2_PHYSIOTHERAPY,PHYSIOTHERAPY KULIM CENTRE (KULIM),,,,,,
19027,panel_code,rtw_panel_2_BAINS,BAINS PHYSIO (ALOR SETAR),,,,,,
19028,panel_code,rtw_panel_2_HMC,HMC PROVIDERS SDN BHD (SHAH ALAM),,,,,,
19029,panel_code,rtw_panel_2_PUSAT,PUSAT RAWATAN FISIOTERAPI IMPIANA,,,,,,
19030,panel_code,rtw_panel_18_WELL,WELL PHYSIO SDN BHD (BUKIT MERTAJAM),,,,,,
19031,panel_code,rtw_panel_18_DEE,DEE B.M. PHYSIOTHERAPY & REHABILITATION CENTRE (BUKIT MERTAJAM),,,,,,
19032,panel_code,rtw_panel_18_TAGS,TAGS SPINE & JOINT SPECIALISTS (PENANG) - BAYAN LEPAS,,,,,,
19033,panel_code,rtw_panel_18_RESTORE,RESTORE PHYSIO & REHAB CENTRE (KEPALA BATAS),,,,,,
19034,panel_code,rtw_panel_18_OUR,OUR PHYSIO SDN BHD (BAYAN LEPAS),,,,,,
19035,panel_code,rtw_panel_18_HMC,HMC PROVIDERS SDN BHD (SHAH ALAM),,,,,,
19036,panel_code,rtw_panel_8_DIAMAGNETIC,DIAMAGNETIC PHYSIO CENTRE SDN BHD (CHERAS),,,,,,
19037,panel_code,rtw_panel_8_PHYSIOACTIVE,PHYSIOACTIVE REHAB & HEALTHCARE CENTRE (TELUK INTAN),,,,,,
19038,panel_code,rtw_panel_8_PAIN,PAIN PARALYSIS PHYSIOTHERAPY CENTRE (IPOH),,,,,,
19039,panel_code,rtw_panel_8_DOCUMENTATION,DOCUMENTATION BASED CARE (DBC IPOH),,,,,,
19040,panel_code,rtw_panel_8_COLUMBIA,COLUMBIA ASIA HOSPITAL TAIPING (TAIPING),,,,,,
19041,panel_code,rtw_panel_8_ANSON,ANSON BAY MEDICAL CENTRE (TELUK INTAN),,,,,,
19042,panel_code,rtw_panel_8_REHAB,REHAB CARE PHYSIOTHERAPY CENTRE (SITIAWAN),,,,,,
19043,panel_code,rtw_panel_8_TAGS,TAGS SPINE & JOINT SPECIALISTS (IPOH),,,,,,
19044,panel_code,rtw_panel_8_DIAMAGNETIC,DIAMAGNETIC PHYSIO CENTRE SDN BHD (IPOH),,,,,,
19045,panel_code,rtw_panel_8_YAYASAN,YAYASAN SULTAN IDRIS SHAH BAGI ORANG KURANG UPAYA PERAK (IPOH),,,,,,
19046,panel_code,rtw_panel_8_C,C KAY FITNESS RESOURCES,,,,,,
19047,panel_code,rtw_panel_8_HMC,HMC PROVIDERS SDN BHD (SHAH ALAM),,,,,,
19048,panel_code,rtw_panel_6_KUANTAN,KUANTAN MEDICAL CENTRE (KUANTAN),,,,,,
19049,panel_code,rtw_panel_6_KPJ,KPJ PAHANG SPECIALIST HOSPITAL SDN BHD (KUANTAN),,,,,,
19050,panel_code,rtw_panel_6_ACE,ACE PHYSIOTHERAPY CENTRE (CAMERON HIGHLANDS),,,,,,
19051,panel_code,rtw_panel_6_HMC,HMC PROVIDERS SDN BHD (SHAH ALAM),,,,,,
19052,panel_code,rtw_panel_3_PHYSIOTHERAPY,PHYSIOTHERAPY AND OCCUPATIONAL THERAPY CENTRE (POTCKB),,,,,,
19053,panel_code,rtw_panel_3_FLEX,FLEX PHYSIOTHERAPY(KT0427207-X),,,,,,
19054,panel_code,rtw_panel_3_HMC,HMC PROVIDERS SDN BHD (SHAH ALAM),,,,,,
19055,panel_code,rtw_panel_11_ALL,ALL REHAB SDN BHD,,,,,,
19056,panel_code,rtw_panel_11_HMC,HMC PROVIDERS SDN BHD (SHAH ALAM),,,,,,
19057,panel_code,rtw_panel_12_BIOREHAB,BIOREHAB PHYSIOTHERAPY SDN BHD (LABUAN),,,,,,
19058,panel_code,rtw_panel_12_BIOREHAB,BIOREHAB PHYSIOTHERAPY SDN BHD (KOTA KINABALU),,,,,,
19059,panel_code,rtw_panel_12_BIOREHAB,BIOREHAB PHYSIOTHERAPY SDN BHD (SANDAKAN),,,,,,
19060,panel_code,rtw_panel_12_BERKAT,BERKAT PHYSIOTHERAPY CENTRE (SANDAKAN),,,,,,
19061,panel_code,rtw_panel_12_K.K,K.K PHYSIOCARE SDN BHD (KK),,,,,,
19062,panel_code,rtw_panel_12_MOVE,MOVE WELL PHYSIOTHERAPY & REHABILITATION (KK),,,,,,
19063,panel_code,rtw_panel_12_VALERIE,VALERIE MUSCULOSKELETAL & SPORTS PHYSIOTHERAPY (KK),,,,,,
19064,panel_code,rtw_panel_12_BODYCARE,BODYCARE PHYSIO & TRADITIONAL CHINESE MEDICAL CENTRE (TCMC) (TAWAU),,,,,,
19065,panel_code,rtw_panel_12_TAWAU,TAWAU PHYSIOTHERAPY CENTRE (TAWAU),,,,,,
19066,panel_code,rtw_panel_12_TAGS,TAGS SPINE & JOINT SPECIALISTS (KOTA KINABALU),,,,,,
19067,panel_code,rtw_panel_12_SABAH,SABAH PHYSIOTHERAPY CENTRE (KK),,,,,,
19068,panel_code,rtw_panel_12_DAMAI,"DAMAI WELLNESS CENTRE, KOTA KINABALU SPECIALIST HOSPITAL SDN. BHD (KK)",,,,,,
19069,panel_code,rtw_panel_13_DOCUMENTATION,DOCUMENTATION BASED CARE ( DBC KUCHING),,,,,,
19070,panel_code,rtw_panel_13_REJANG,REJANG HEALTHCARE CENTRE SDN BHD (SIBU),,,,,,
19071,panel_code,rtw_panel_13_TAGS,TAGS SPINE & JOINT SPECIALISTS (KUCHING),,,,,,
19072,panel_code,rtw_panel_13_TAGS,TAGS SPINE & JOINT SPECIALISTS (MIRI),,,,,,
19073,panel_code,rtw_panel_13_COLUMBIA,COLUMBIA ASIA HOSPITAL BINTULU,,,,,,
19074,panel_code,rtw_panel_13_NORMAH,NORMAH MEDICAL SPECIALIST CENTRE (KUCHING),,,,,,
19075,panel_code,rtw_panel_13_REHAB,REHAB CONCEPT SDN BHD (KUCHING),,,,,,
19076,panel_code,rtw_panel_13_COLUMBIA,COLUMBIA ASIA HOSPITAL - MIRI (TRUEPEACE,,,,,,
19077,panel_code,rtw_panel_14_DOCUMENTATION,DOCUMENTATION BASED CARE (DBC HQ),,,,,,
19078,panel_code,rtw_panel_14_DOCUMENTATION,DOCUMENTATION BASED CARE (DBC TTDI),,,,,,
19079,panel_code,rtw_panel_14_DOCUMENTATION,DOCUMENTATION BASE CARE (DBC JALAN KUCHING),,,,,,
19080,panel_code,rtw_panel_14_PUSAT,PUSAT FISIOTERAPI & REHABILITASI MAIWP-PICOMS (JALAN IPOH),,,,,,
19081,panel_code,rtw_panel_14_PARKCITY,PARKCITY MEDICAL CENTRE (DESA PARK CITY),,,,,,
