"STATE_CODE","ZONE_CODE","SERVICE_TYPE","SERVICE","PANEL_CODE","PRICE_BY_SESSION","ADDBY","UPDBY"
1,,rtw_st_phy,rtw_s1_phy,rtw_SINAR_SEGAMAT,,80.0,,
1,,rtw_st_phy,rtw_s1_phy,rtw_REHAB_KLUANG,,80.0,,
1,,rtw_st_phy,rtw_s1_phy,rtw_KLUANG_KLUANG,,80.0,,
1,,rtw_st_phy,rtw_s1_phy,rtw_JB_JB,,80.0,,
1,,rtw_st_phy,rtw_s1_phy,rtw_GREAT_JB,,80.0,,
1,,rtw_st_phy,rtw_s1_phy,rtw_BP_BATU PAHAT,,80.0,,
1,,rtw_st_phy,rtw_s1_phy,rtw_TAGS_JB,,70.0,,
1,,rtw_st_phy,rtw_s1_phy,rtw_EPISODE_BATU PAHAT,,80.0,,
1,,rtw_st_phy,rtw_s1_phy,rtw_PANTAI,,80.0,,
1,,rtw_st_phy,rtw_s1_phy,rtw_PHYSIOMOBILEMY_JB,,80.0,,
1,,rtw_st_occ,rtw_s25_occ,rtw_PANTAI,,85.0,,
1,,rtw_st_spe,rtw_s155_spe,rtw_PANTAI,,130.0,,
1,,rtw_st_phy,rtw_s32_hom,rtw_REHAB_KLUANG,,100.0,,
1,,rtw_st_phy,rtw_s32_hom,rtw_GREAT_JB,,110.0,,
1,,rtw_st_phy,rtw_s32_hom,rtw_BP_BATU PAHAT,,80.0,,
1,,rtw_st_phy,rtw_s32_hom,rtw_EPISODE_BATU PAHAT,,100.0,,
1,,rtw_st_phy,rtw_s32_hom,rtw_PHYSIOMOBILEMY_JB,,110.0,,
1,,rtw_st_phy,rtw_s32_hom,rtw_HMC_SHAH ALAM,,110.0,,
1,,rtw_st_fun,rtw_s64_bas,rtw_SINAR_SEGAMAT,,95.0,,
1,,rtw_st_serv_by_pack,rtw_s138_pak,rtw_SINAR_SEGAMAT,,45.0,,
1,,rtw_st_serv_by_pack,rtw_s138_pak,rtw_JB_JB,,70.0,,
1,,rtw_st_serv_by_pack,rtw_s138_pak,rtw_BP_BATU PAHAT,,80.0,,
1,,rtw_st_phy,rtw_s20_che,rtw_EPISODE_BATU PAHAT,,20.0,,
1,,rtw_st_phy,rtw_s21_che,rtw_EPISODE_BATU PAHAT,,30.0,,
4,,rtw_st_phy,rtw_s1_phy,rtw_TAGS_MELAKA,,70.0,,
4,,rtw_st_phy,rtw_s1_phy,rtw_EZ_MELAKA,,70.0,,
4,,rtw_st_phy,rtw_s32_hom,rtw_EZ_MELAKA,,100.0,,
4,,rtw_st_phy,rtw_s32_hom,rtw_HMC_SHAH ALAM,,110.0,,
17,,rtw_st_phy,rtw_s1_phy,rtw_NSCMH_SEREMBAN,,90.0,,
17,,rtw_st_phy,rtw_s1_phy,rtw_SALAM_SENAWANG,,90.0,,
17,,rtw_st_phy,rtw_s1_phy,rtw_TAGS_SEREMBAN,,70.0,,
17,,rtw_st_phy,rtw_s1_phy,rtw_BAINS_NILAI,,80.0,,
17,,rtw_st_phy,rtw_s1_phy,rtw_KPJ_SEREMBAN,,80.0,,
17,,rtw_st_phy,rtw_s1_phy,rtw_SE,,80.0,,
17,,rtw_st_occ,rtw_s25_occ,rtw_KPJ_SEREMBAN,,87.0,,
17,,rtw_st_occ,rtw_s25_occ,rtw_SE,,80.0,,
17,,rtw_st_spe,rtw_s155_spe,rtw_KPJ_SEREMBAN,,130.0,,
17,,rtw_st_phy,rtw_s32_hom,rtw_BAINS_NILAI,,100.0,,
17,,rtw_st_phy,rtw_s32_hom,rtw_TAGS_MELAKA,,100.0,,
17,,rtw_st_phy,rtw_s32_hom,rtw_SE,,100.0,,
17,,rtw_st_ass,rtw_s49_gen,rtw_NSCMH_SEREMBAN,,90.0,,
17,,rtw_st_ass,rtw_s49_gen,rtw_BAINS_NILAI,,80.0,,
17,,rtw_st_ass,rtw_s58_spe,rtw_KPJ_SEREMBAN,,200.0,,
17,,rtw_st_fun,rtw_s64_bas,rtw_BAINS_NILAI,,80.0,,
17,,rtw_st_fun,rtw_s64_bas,rtw_KPJ_SEREMBAN,,113.0,,
17,,rtw_st_dry,rtw_s76_dry,rtw_BAINS_NILAI,,40.0,,
17,,rtw_st_serv_by_pack,rtw_s138_pak,rtw_SALAM_SENAWANG,,90.0,,
17,,rtw_st_serv_by_pack,rtw_s139_pak,rtw_NSCMH_SEREMBAN,,90.0,,
17,,rtw_st_serv_by_pack,rtw_s139_pak,rtw_SALAM_SENAWANG,,90.0,,
17,,rtw_st_serv_by_pack,rtw_s147_pak,rtw_SALAM_SENAWANG,,90.0,,
17,,rtw_st_serv_by_pack,rtw_s151_pak,rtw_NSCMH_SEREMBAN,,90.0,,
17,,rtw_st_serv_by_mod,rtw_s215_adv,rtw_KPJ_SEREMBAN,,85.0,,
9,,rtw_st_phy,rtw_s1_phy,rtw_APOLLO,,50.0,,
2,,rtw_st_phy,rtw_s1_phy,rtw_DOCUMENTATION_DBC ALOR SETAR,,143.0,,
2,,rtw_st_phy,rtw_s1_phy,rtw_LIFECARE_SUNGAI PETANI,,60.0,,
2,,rtw_st_phy,rtw_s1_phy,rtw_MEDYNA_ALOR SETAR,,60.0,,
2,,rtw_st_phy,rtw_s1_phy,rtw_LANGKAWAI_LANGKAWI,,60.0,,
2,,rtw_st_phy,rtw_s1_phy,rtw_PHYSIOTHERAPY_KULIM,,60.0,,
2,,rtw_st_phy,rtw_s1_phy,rtw_BAINS_ALOR SETAR,,80.0,,
2,,rtw_st_occ,rtw_s25_occ,rtw_MEDYNA_ALOR SETAR,,60.0,,
2,,rtw_st_spe,rtw_s155_spe,rtw_MEDYNA_ALOR SETAR,,80.0,,
2,,rtw_st_phy,rtw_s32_hom,rtw_MEDYNA_ALOR SETAR,,110.0,,
2,,rtw_st_phy,rtw_s32_hom,rtw_LANGKAWAI_LANGKAWI,,100.0,,
2,,rtw_st_phy,rtw_s32_hom,rtw_PHYSIOTHERAPY_KULIM,,110.0,,
2,,rtw_st_phy,rtw_s32_hom,rtw_BAINS_ALOR SETAR,,100.0,,
2,,rtw_st_phy,rtw_s32_hom,rtw_HMC_SHAH ALAM,,110.0,,
2,,rtw_st_ass,rtw_s49_gen,rtw_DOCUMENTATION_DBC ALOR SETAR,,195.0,,
2,,rtw_st_ass,rtw_s49_gen,rtw_BAINS_ALOR SETAR,,80.0,,
2,,rtw_st_fun,rtw_s64_bas,rtw_DOCUMENTATION_DBC ALOR SETAR,,220.0,,
2,,rtw_st_fun,rtw_s64_bas,rtw_BAINS_ALOR SETAR,,80.0,,
2,,rtw_st_dry,rtw_s76_dry,rtw_BAINS_ALOR SETAR,,40.0,,
2,,rtw_st_serv_by_pack,rtw_s139_pak,rtw_PUSAT,,70.0,,
2,,rtw_st_serv_by_pack,rtw_s140_pak,rtw_PUSAT,,70.0,,
18,,rtw_st_phy,rtw_s1_phy,rtw_WELL_BUKIT MERTAJAM,,55.0,,
18,,rtw_st_phy,rtw_s1_phy,rtw_DEE_BUKIT MERTAJAM,,80.0,,
18,,rtw_st_phy,rtw_s1_phy,rtw_TAGS_PENANG,,70.0,,
18,,rtw_st_phy,rtw_s1_phy,rtw_RESTORE_KEPALA BATAS,,50.0,,
18,,rtw_st_phy,rtw_s1_phy,rtw_OUR_BAYAN LEPAS,,70.0,,
18,,rtw_st_occ,rtw_s25_occ,rtw_OUR_BAYAN LEPAS,,70.0,,
18,,rtw_st_spe,rtw_s155_spe,rtw_OUR_BAYAN LEPAS,,120.0,,
18,,rtw_st_phy,rtw_s32_hom,rtw_DEE_BUKIT MERTAJAM,,90.0,,
18,,rtw_st_phy,rtw_s32_hom,rtw_OUR_BAYAN LEPAS,,95.0,,
18,,rtw_st_phy,rtw_s32_hom,rtw_HMC_SHAH ALAM,,110.0,,
18,,rtw_st_ass,rtw_s49_gen,rtw_OUR_BAYAN LEPAS,,35.0,,
18,,rtw_st_dry,rtw_s76_dry,rtw_WELL_BUKIT MERTAJAM,,35.0,,
18,,rtw_st_serv_by_pack,rtw_s138_pak,rtw_RESTORE_KEPALA BATAS,,60.0,,
18,,rtw_st_serv_by_mod,rtw_s215_adv,rtw_WELL_BUKIT MERTAJAM,,85.0,,
8,,rtw_st_phy,rtw_s1_phy,rtw_DIAMAGNETIC_CHERAS,,80.0,,
8,,rtw_st_phy,rtw_s1_phy,rtw_PHYSIOACTIVE_TELUK INTAN,,70.0,,
8,,rtw_st_phy,rtw_s1_phy,rtw_PAIN_IPOH,,70.0,,
8,,rtw_st_phy,rtw_s1_phy,rtw_DOCUMENTATION_DBC IPOH,,143.0,,
8,,rtw_st_phy,rtw_s1_phy,rtw_COLUMBIA_TAIPING,,80.0,,
8,,rtw_st_phy,rtw_s1_phy,rtw_ANSON_TELUK INTAN,,70.0,,
8,,rtw_st_phy,rtw_s1_phy,rtw_REHAB_SITIAWAN,,70.0,,
8,,rtw_st_phy,rtw_s1_phy,rtw_TAGS_IPOH,,70.0,,
8,,rtw_st_phy,rtw_s1_phy,rtw_DIAMAGNETIC_IPOH,,135.0,,
8,,rtw_st_phy,rtw_s1_phy,rtw_YAYASAN_IPOH,,30.0,,
8,,rtw_st_phy,rtw_s1_phy,rtw_C,,70.0,,
8,,rtw_st_occ,rtw_s25_occ,rtw_YAYASAN_IPOH,,30.0,,
8,,rtw_st_spe,rtw_s155_spe,rtw_YAYASAN_IPOH,,50.0,,
8,,rtw_st_phy,rtw_s11_hyd,rtw_YAYASAN_IPOH,,20.0,,
8,,rtw_st_phy,rtw_s32_hom,rtw_REHAB_SITIAWAN,,80.0,,
8,,rtw_st_phy,rtw_s32_hom,rtw_HMC_SHAH ALAM,,110.0,,
8,,rtw_st_phy,rtw_s32_hom,rtw_C,,90.0,,
8,,rtw_st_con,rtw_s159_med,rtw_YAYASAN_IPOH,,50.0,,
8,,rtw_st_ass,rtw_s49_gen,rtw_DOCUMENTATION_DBC IPOH,,195.0,,
8,,rtw_st_fun,rtw_s64_bas,rtw_DOCUMENTATION_DBC IPOH,,220.0,,
8,,rtw_st_serv_by_pack,rtw_s138_pak,rtw_DIAMAGNETIC_CHERAS,,145.0,,
8,,rtw_st_serv_by_pack,rtw_s145_pak,rtw_DIAMAGNETIC_IPOH,,95.0,,
8,,rtw_st_serv_by_pack,rtw_s145_pak,rtw_YAYASAN_IPOH,,50.0,,
8,,rtw_st_serv_by_pack,rtw_s148_pak,rtw_DIAMAGNETIC_IPOH,,60.0,,
6,,rtw_st_phy,rtw_s1_phy,rtw_KUANTAN_KUANTAN,,80.0,,
6,,rtw_st_phy,rtw_s1_phy,rtw_KPJ_KUANTAN,,80.0,,
6,,rtw_st_phy,rtw_s1_phy,rtw_ACE_CAMERON HIGHLANDS,,80.0,,
