"ID","CODE_CATEGORY","REF_CODE","DESC_EN","DESC_BM","ADDBY","UPDATEBY","CREATED_AT","UPDATED_AT","PRIORITY"
18000,rtw_sp_service,rtw_s1_phy,Physiotherapy Treatment,,,,,,
18001,rtw_sp_service,rtw_s2_man,Manual Therapy,,,,,,
18002,rtw_sp_service,rtw_s3_pai,Pain Management,,,,,,
18003,rtw_sp_service,rtw_s4_mus,Musculoskeletal Rehabilitation,,,,,,
18004,rtw_sp_service,rtw_s5_spo,Sport Injuries Rehabilitation,,,,,,
18005,rtw_sp_service,rtw_s6_str,Stroke Rehabilitation,,,,,,
18006,rtw_sp_service,rtw_s7_spi,Spinal Cord Injury Rehabilitation,,,,,,
18007,rtw_sp_service,rtw_s8_tra,Traumatic Brain Injury Rehabilitation,,,,,,
18008,rtw_sp_service,rtw_s9_amp,Amputee Rehabilitation,,,,,,
18009,rtw_sp_service,rtw_s10_car,Cardiorespiratory Rehabilitation,,,,,,
18010,rtw_sp_service,rtw_s11_hyd,Hydrotherapy,,,,,,
18011,rtw_sp_service,rtw_s32_hom,Home Therapy + Mileage,,,,,,
18012,rtw_sp_service,rtw_s13_gro,Group Therapy And Exercises,,,,,,
18013,rtw_sp_service,rtw_s14_bur,Burn Management,,,,,,
18014,rtw_sp_service,rtw_s40_pat,Patient And Family Education Including Talk Workshop And Training,,,,,,
18015,rtw_sp_service,rtw_s16_wom,Women And Men Health,,,,,,
18016,rtw_sp_service,rtw_s17_oth,Other Neurological Or Rare Diseases Rehabilitation Such As Parkinson/Multiple Sclerosis/Muscular Dysthropy/Systemic Lupus/Ankylosing Spondylotis/Gullain Barre 1Syndrome,,,,,,
18017,rtw_sp_service,rtw_s18_alt,Alter-G (Anti Graviti) Physio,,,,,,
18018,rtw_sp_service,rtw_s19_tbi,Tbion (Tibion Bionic Technology) Rehab,,,,,,
18019,rtw_sp_service,rtw_s20_che,Chest Physiotherapy Manual,,,,,,
18020,rtw_sp_service,rtw_s21_che,Chest Physiotherapy Suction Machine,,,,,,
18021,rtw_sp_service,rtw_s22_han,Hand Function Training,,,,,,
18022,rtw_sp_service,rtw_s23_fin,Fine Motor Training,,,,,,
18023,rtw_sp_service,rtw_s24_cog,Cognitive Training,,,,,,
18024,rtw_sp_service,rtw_s25_occ,Occupational Therapy Treatment,,,,,,
18025,rtw_sp_service,rtw_s26_adl,Adl Training (Basic And Instrumental Adl),,,,,,
18026,rtw_sp_service,rtw_s27_the,Therapeutic Activities,,,,,,
18027,rtw_sp_service,rtw_s28_spl,Splinting,,,,,,
18028,rtw_sp_service,rtw_s98_pre,Pressure Garment,,,,,,
18029,rtw_sp_service,rtw_s30_cog,Cognitive And Perceptual Training,,,,,,
18030,rtw_sp_service,rtw_s31_ot,Ot Tx/ Therapeutic Exercise,,,,,,
18031,rtw_sp_service,rtw_s33_aid,Aids And Adaptations,,,,,,
18032,rtw_sp_service,rtw_s34_wor,Work Rehabilitation (Conditioning & Hardening),,,,,,
